源事件,关系,目标事件,强度,因果状态
川陕苏区群众运动,influenced,红军长征,explicit_context,not_inferred
四川保路运动,influenced,武昌起义,explicit_context,not_inferred
五四运动影响,influenced,马克思主义传播,explicit_context,not_inferred
西渡嘉陵江,part_of,长征,explicit_structure,not_inferred
北伐军进入醴陵,influenced,工农运动,explicit_context,not_inferred
分粮斗争,influenced,土地革命,explicit_context,not_inferred
武汉会战,part_of,第二次国内革命战争,explicit_structure,not_inferred
五四运动,influenced,马克思主义传播,explicit_context,not_inferred
三八节纪念活动,influenced,妇女解放运动,explicit_context,not_inferred
祥云武装斗争,part_of,滇西解放战役,explicit_structure,not_inferred
一·二八事变,influenced,抗日民族统一战线,explicit_context,not_inferred
湘阴四次沦陷,influenced,武汉会战,explicit_context,not_inferred
洪家铺之战,part_of,解放四川,explicit_structure,not_inferred
武汉会战,part_of,抗日战争,explicit_structure,not_inferred
土地改革法,influenced,剿匪反霸运动,explicit_context,not_inferred
一二·九运动,influenced,鄂南抗日斗争,explicit_context,not_inferred
八七会议,influenced,土地革命,explicit_context,not_inferred
京沪铁路罢工,influenced,吴淞地区战斗,explicit_context,not_inferred
上海各团体救国联合会,part_of,抗日救亡运动,explicit_structure,not_inferred
皖南事变,influenced,茅山地区斗争,explicit_context,not_inferred
醴陵暴动,influenced,八七会议,explicit_context,not_inferred
宜都惨案,influenced,罗克强等五位负责人被杀害,explicit_context,not_inferred
刘家渡会议,influenced,减租减息斗争,explicit_context,not_inferred
井冈山斗争,influenced,土地法改革,explicit_context,not_inferred
公债发行,influenced,妇女解放运动,explicit_context,not_inferred
分粮斗争,influenced,土地革命,explicit_context,not_inferred
圭山战役,part_of,反扫荡斗争,explicit_structure,not_inferred
税收工作,influenced,解放战争,explicit_context,not_inferred
粮食统购统销,influenced,互助合作运动,explicit_context,not_inferred
弥勒西山可邑战斗,part_of,反‘扫荡’斗争,explicit_structure,not_inferred
井冈山斗争,influenced,各地农民游击战争发展,explicit_context,not_inferred
学生运动,influenced,党领导的学生运动,explicit_context,not_inferred
变卖田产,influenced,武装斗争,explicit_context,not_inferred
文家市会师,influenced,三湾改编,explicit_context,not_inferred
华中分局党校,influenced,土改运动,explicit_context,not_inferred
组织民训队,influenced,武装起义计划,explicit_context,not_inferred
文家市会议,influenced,三湾改编,explicit_context,not_inferred
鄂北农民银行,influenced,银元铸造活动,explicit_context,not_inferred
四川保路运动,influenced,武昌起义,explicit_context,not_inferred
代表会议,influenced,平稳物价,explicit_context,not_inferred
弥勒西山可邑战斗,part_of,反‘扫荡’斗争,explicit_structure,not_inferred
湖南省第一次工农代表大会,influenced,沅江工农运动,explicit_context,not_inferred
第二次募乃之战,influenced,南峤战役,explicit_context,not_inferred
三县党,influenced,土地革命,explicit_context,not_inferred
男女同工同酬,influenced,妇女生产,explicit_context,not_inferred
土地革命,part_of,民主革命,explicit_structure,not_inferred
农协小组,influenced,减租保佃,explicit_context,not_inferred
宜昌失守,influenced,湘鄂西区党委撤退行动,explicit_context,not_inferred
上海工人运动,part_of,工农群众运动,explicit_structure,not_inferred
五四运动,influenced,劳工团,explicit_context,not_inferred
湘南起义,part_of,宜章年关暴动,explicit_structure,not_inferred
中共中央临时政治局扩大会议,influenced,无锡暴动,explicit_context,not_inferred
川陕苏区群众运动,influenced,红军长征,explicit_context,not_inferred
自救运动,influenced,第一次农民代表大会,explicit_context,not_inferred
皖南事变,influenced,合川抗日救亡运动,explicit_context,not_inferred
劳动就业登记诉苦交待,influenced,思想改造,explicit_context,not_inferred
常州解放,influenced,人民政权建立,explicit_context,not_inferred
武汉工人总同盟罢工,influenced,南昌起义,explicit_context,not_inferred
贵阳市郊区土地改革运动,influenced,农业生产互助组,explicit_context,not_inferred
粮食统购统销,influenced,互助合作运动,explicit_context,not_inferred
八七会议,influenced,黄麻起义,explicit_context,not_inferred
南昌起义,influenced,弋横农民运动,explicit_context,not_inferred
南昌起义,influenced,八七会议,explicit_context,not_inferred
公债发行,influenced,妇女解放运动,explicit_context,not_inferred
肃反运动,influenced,商光路线,explicit_context,not_inferred
昆明'七·一五'学生运动,influenced,师宗县城解放,explicit_context,not_inferred
光蛋会,part_of,锤头队,explicit_structure,not_inferred
赣北联席会,influenced,土地革命,explicit_context,not_inferred
北伐军进入醴陵,influenced,工农运动,explicit_context,not_inferred
土地改革,influenced,中小学教育发展,explicit_context,not_inferred
农民运动,part_of,工农革命运动,explicit_structure,not_inferred
跃进中原,influenced,土地会议,explicit_context,not_inferred
游击队集中整训,influenced,抗日救亡,explicit_context,not_inferred
公共汽车工人斗争,part_of,川东职工运动,explicit_structure,not_inferred
盘江流域反蒋武装斗争,part_of,盘县椿寨起义,explicit_structure,not_inferred
武汉地区学生运动,influenced,共产主义小组,explicit_context,not_inferred
湖南省委第六次代表大会,influenced,水口山工人运动,explicit_context,not_inferred
中国革命,part_of,世界革命,explicit_structure,not_inferred
安源路矿罢工,influenced,醴陵工人运动,explicit_context,not_inferred
民主同盟,influenced,重庆谈判,explicit_context,not_inferred
上海商人和平诉求,influenced,广州军队北伐行动,explicit_context,not_inferred
南昌起义,influenced,武汉工人总同盟罢工,explicit_context,not_inferred
极左主义,influenced,肃反,explicit_context,not_inferred
牛街青年联谊会,influenced,牛街革命斗争,explicit_context,not_inferred
解放军渡江战役,influenced,四·二一分区游行,explicit_context,not_inferred
安源路矿罢工,influenced,醴陵工人运动,explicit_context,not_inferred
上海战役,influenced,学生运动,explicit_context,not_inferred
远征湖北会师武汉,influenced,石柱县西乐坪战斗,explicit_context,not_inferred
南京各界游行,influenced,五卅惨案,explicit_context,not_inferred
遵义会议,influenced,长征,explicit_context,not_inferred
遵义会议,influenced,扎西会议,explicit_context,not_inferred
遵义会议,influenced,长征,explicit_context,not_inferred
工读互助团,influenced,平民教育,explicit_context,not_inferred
八七会议,influenced,南昌起义,explicit_context,not_inferred
山口会议,part_of,秋收起义,explicit_structure,not_inferred
四渡赤水,part_of,红军长征,explicit_structure,not_inferred
挽范游行,influenced,1929年捣毁团务局,explicit_context,not_inferred
抗美援朝运动,influenced,夏征任务,explicit_context,not_inferred
将军山之役,part_of,长征,explicit_structure,not_inferred
北伐战争,influenced,华容县农民运动,explicit_context,not_inferred
组织民训队,influenced,武装起义计划,explicit_context,not_inferred
双十节集会,influenced,抗粮抗租运动,explicit_context,not_inferred
云南军阀混战,influenced,火药爆炸事件,explicit_context,not_inferred
湖南省委第六次代表大会,influenced,水口山工人运动,explicit_context,not_inferred
抗日救亡运动,part_of,忠县防奸护民团,explicit_structure,not_inferred
武汉地区学生运动,influenced,共产主义小组,explicit_context,not_inferred
南昌起义,part_of,八一暴动,explicit_structure,not_inferred
土城战斗,part_of,四渡赤水,explicit_structure,not_inferred
发传单活动,influenced,李立三左倾指导思想,explicit_context,not_inferred
党团分化工作,influenced,五卅运动,explicit_context,not_inferred
七·二七占领长沙,influenced,湘南党的工作,explicit_context,not_inferred
英日惨杀华人案重庆外交后援会,influenced,五卅惨案声援活动,explicit_context,not_inferred
国际援助物资运输,influenced,解放区,explicit_context,not_inferred
皖南游击战争,part_of,蓝田战斗,explicit_structure,not_inferred
重庆国共协定,influenced,政治协商会议,explicit_context,not_inferred
遵义会议,influenced,四渡赤水,explicit_context,not_inferred
土改胜利,influenced,抗美援朝高潮,explicit_context,not_inferred
亳县公安保卫机构,influenced,减租减息运动,explicit_context,not_inferred
上海抗日运动,part_of,反汪反汉奸反托派斗争,explicit_structure,not_inferred
赤石大屠杀,part_of,皖南事变,explicit_structure,not_inferred
第四次反‘围剿’,influenced,第五次反‘围剿’,explicit_context,not_inferred
攻克天险窗子洞战斗,part_of,贵州剿匪斗争,explicit_structure,not_inferred
王明路线,influenced,遵义会议,explicit_context,not_inferred
国际援助物资运输,influenced,解放区,explicit_context,not_inferred
川陕苏区劳动妇女第二次代表大会,influenced,反宗教大同盟运动,explicit_context,not_inferred
遵义会议,influenced,懋功会师,explicit_context,not_inferred
麻窝窑乡农民协会成立大会,influenced,打倒土豪劣绅运动,explicit_context,not_inferred
遵义政治局扩大会议,influenced,五次‘围剿’,explicit_context,not_inferred
纺织合作社,influenced,天目山反顽战斗,explicit_context,not_inferred
春季暴动,influenced,三月事件,explicit_context,not_inferred
九·二三爱国民主运动,influenced,武工队活动,explicit_context,not_inferred
黄金山反顽战斗,part_of,苏南反顽战役,explicit_structure,not_inferred
常州解放,influenced,支援解放上海,explicit_context,not_inferred
五四运动影响,influenced,马克思主义传播,explicit_context,not_inferred
赤少师,influenced,分田运动,explicit_context,not_inferred
南昌起义,influenced,八七会议,explicit_context,not_inferred
清匪反霸,part_of,土地改革,explicit_structure,not_inferred
八七会议,influenced,四川暴动计划,explicit_context,not_inferred
将军山之役,part_of,长征,explicit_structure,not_inferred
农业互助合作运动,influenced,爱国增产运动,explicit_context,not_inferred
税收工作,influenced,解放战争,explicit_context,not_inferred
土地革命,part_of,民主革命,explicit_structure,not_inferred
苏区人民群众,influenced,四化建设,explicit_context,not_inferred
第五次反‘围剿’,influenced,长征,explicit_context,not_inferred
纺织合作社,influenced,天目山反顽战斗,explicit_context,not_inferred
五四运动,influenced,马克思主义传播,explicit_context,not_inferred
汪先杀被害事件,influenced,湘潭县农民运动,explicit_context,not_inferred
遵义会议,influenced,扎西会议,explicit_context,not_inferred
八七会议,influenced,广州起义,explicit_context,not_inferred
减租减息政策,influenced,翻身解放,explicit_context,not_inferred
遵义会议,part_of,二渡赤水,explicit_structure,not_inferred
九江会议,influenced,南昌起义,explicit_context,not_inferred
驱赵迎唐运动,influenced,湖南农民运动,explicit_context,not_inferred
挺进报被破坏事件,influenced,王朴被捕及牺牲,explicit_context,not_inferred
西镇乡农民运动,influenced,北伐革命,explicit_context,not_inferred
沅江工农运动,influenced,北伐军攻克长沙,explicit_context,not_inferred
地委扩大会议,influenced,土地改革,explicit_context,not_inferred
八七紧急会议,influenced,湘南起义,explicit_context,not_inferred
皖南游击战争,part_of,蓝田战斗,explicit_structure,not_inferred
茅家岭暴动,part_of,上饶集中营斗争,explicit_structure,not_inferred
中国共产党第三次全国代表大会,influenced,国共合作,explicit_context,not_inferred
五十三厂自卫大队,part_of,武装保厂运动,explicit_structure,not_inferred
特支组建,influenced,青年运动,explicit_context,not_inferred
二中全会,influenced,宪法草案修改,explicit_context,not_inferred
设伏打击敌人,influenced,土地革命,explicit_context,not_inferred
中国共产主义青年团第四次全国代表大会,influenced,五卅运动,explicit_context,not_inferred
截断铁路线,influenced,秋收起义,explicit_context,not_inferred
八七会议,influenced,土地革命战争时期四川境内武装反抗国民党反动派的第一枪,explicit_context,not_inferred
接收敌伪档案,influenced,清匪反霸运动,explicit_context,not_inferred
反蒋游击战争,influenced,公债券发行,explicit_context,not_inferred
赤少师,influenced,分田运动,explicit_context,not_inferred
火把节,influenced,武装暴动,explicit_context,not_inferred
《反攻》,influenced,重庆谈判,explicit_context,not_inferred
王道藩事件,influenced,农协组织,explicit_context,not_inferred
民先组织,part_of,飞鹰步兵团,explicit_structure,not_inferred
文家市会师,part_of,秋收起义,explicit_structure,not_inferred
五四运动,influenced,乐安人民革命斗争大事记,explicit_context,not_inferred
支前司令部,influenced,淮海战役,explicit_context,not_inferred
徐州会战,influenced,‘前哨社’,explicit_context,not_inferred
四渡赤水战役,part_of,土城战斗,explicit_structure,not_inferred
皖南事变,influenced,重庆谈判,explicit_context,not_inferred
接收敌伪档案,influenced,清匪反霸运动,explicit_context,not_inferred
江苏省党的工作,influenced,红五月运动,explicit_context,not_inferred
解放军33师与地方部队会师,influenced,休宁县人民政府成立,explicit_context,not_inferred
遵义会议,influenced,巧渡金沙江,explicit_context,not_inferred
鄂北农民银行,influenced,银元铸造活动,explicit_context,not_inferred
湘南起义,part_of,宜章年关暴动,explicit_structure,not_inferred
整风运动,influenced,遵义会议,explicit_context,not_inferred
四渡赤水,part_of,九仓坝战斗,explicit_structure,not_inferred
俄国十月革命,influenced,中国革命,explicit_context,not_inferred
猴场会议,part_of,黎平会议,explicit_structure,not_inferred
黔大间激战,influenced,毕节失陷,explicit_context,not_inferred
六次代表大会,influenced,赣西南苏维埃运动,explicit_context,not_inferred
五卅运动,influenced,北伐战争,explicit_context,not_inferred
劳动就业登记诉苦交待,influenced,思想改造,explicit_context,not_inferred
上海战时服务团,influenced,皖南抗日斗争,explicit_context,not_inferred
反对肖显铭罢课斗争,part_of,学生运动,explicit_structure,not_inferred
二野五兵团行军路线,influenced,安顺解放,explicit_context,not_inferred
王明‘左’倾教条主义,influenced,土地重新分配,explicit_context,not_inferred
云贵边境武装斗争,influenced,两面两重政权,explicit_context,not_inferred
长青堡奔袭战,part_of,丹寨解放,explicit_structure,not_inferred
秋收起义,influenced,红色暴动队,explicit_context,not_inferred
'一二·一'学生爱国运动,influenced,秘密读书小组,explicit_context,not_inferred
淮安战斗,part_of,淮海战役相关战斗,explicit_structure,not_inferred
黔西北苏区发展,part_of,鸭池河战斗,explicit_structure,not_inferred
八七会议,influenced,珠湖农民武装暴动,explicit_context,not_inferred
土地改革,influenced,《中华人民共和国土地改革法》,explicit_context,not_inferred
解放灵璧县城战斗,part_of,皖北地区武装斗争,explicit_structure,not_inferred
挽范游行,influenced,1929年捣毁团务局,explicit_context,not_inferred
攻打江浦城,part_of,解放南京,explicit_structure,not_inferred
华中分局党校,influenced,土改运动,explicit_context,not_inferred
遵义会议,influenced,反对‘罗明路线’斗争,explicit_context,not_inferred
七七卢沟桥事变,influenced,国共合作谈判,explicit_context,not_inferred
工人运动,part_of,妇女运动,explicit_structure,not_inferred
南昌起义,influenced,武汉工人总同盟罢工,explicit_context,not_inferred
剑川暴动,influenced,福贡起义,explicit_context,not_inferred
长征,influenced,遵义会议,explicit_context,not_inferred
西渡嘉陵江,part_of,长征,explicit_structure,not_inferred
群众组织建设,influenced,筹集物资支援前线,explicit_context,not_inferred
社会主义教育运动,part_of,阶级教育,explicit_structure,not_inferred
统战政策,influenced,江津和平解放,explicit_context,not_inferred
抗美援朝运动,influenced,参军参战,explicit_context,not_inferred
分界之战,part_of,苏中战役,explicit_structure,not_inferred
慰问志愿军,part_of,爱国公约,explicit_structure,not_inferred
湘鄂赣边区革命斗争,influenced,苏区建设,explicit_context,not_inferred
减租减息运动,influenced,农教会干部训练班,explicit_context,not_inferred
遵义会议,influenced,二渡赤水,explicit_context,not_inferred
减租减息政策,influenced,翻身解放,explicit_context,not_inferred
南昌起义,influenced,九江大血案,explicit_context,not_inferred
八七会议,influenced,白区工作错误分析,explicit_context,not_inferred
木亮会合,influenced,反围剿胜利,explicit_context,not_inferred
八七会议,influenced,瓦仓起义,explicit_context,not_inferred
遵义会议,influenced,抗日民族统一战线,explicit_context,not_inferred
九一八事变,influenced,抗日民族统一战线,explicit_context,not_inferred
公开与秘密工作联系,influenced,冒险主义批判,explicit_context,not_inferred
八七会议,influenced,南昌起义,explicit_context,not_inferred
五四运动,influenced,剧本创作,explicit_context,not_inferred
减租减息运动,influenced,刀会暴乱,explicit_context,not_inferred
特支组建,influenced,青年运动,explicit_context,not_inferred
土城战役,part_of,四渡赤水,explicit_structure,not_inferred
第二次募乃之战,influenced,南峤战役,explicit_context,not_inferred
上海战时服务团,influenced,皖南抗日斗争,explicit_context,not_inferred
解放军渡江战役,influenced,四·二一分区游行,explicit_context,not_inferred
大基登分兵,influenced,攻克师宗城,explicit_context,not_inferred
遵义会议,influenced,四渡赤水,explicit_context,not_inferred
将军山战斗,part_of,长征,explicit_structure,not_inferred
截断铁路线,influenced,秋收起义,explicit_context,not_inferred
淮海战役,influenced,护矿斗争,explicit_context,not_inferred
反霸,part_of,土地改革,explicit_structure,not_inferred
解放灵璧县城战斗,part_of,皖北地区武装斗争,explicit_structure,not_inferred
红二团教导队,influenced,白沙区农民武装起义,explicit_context,not_inferred
五卅运动,influenced,北伐战争,explicit_context,not_inferred
《将革命进行到底》,influenced,昆明解放,explicit_context,not_inferred
宁波支前工作,influenced,解放舟山群岛战役,explicit_context,not_inferred
抗日救亡运动,part_of,忠县防奸护民团,explicit_structure,not_inferred
蒋阎冯战争,influenced,革命形势,explicit_context,not_inferred
南昌起义,influenced,秋收暴动,explicit_context,not_inferred
云南解放,influenced,新联组织,explicit_context,not_inferred
叙府外交后援会,influenced,宜宾党团组织,explicit_context,not_inferred
麻阳新民社,influenced,反帝反封建斗争,explicit_context,not_inferred
上海工人运动,part_of,工农群众运动,explicit_structure,not_inferred
上海战役,influenced,学生运动,explicit_context,not_inferred
反封锁斗争,influenced,新民主主义建设,explicit_context,not_inferred
皖山分区全境解放,influenced,渡江战役,explicit_context,not_inferred
八七会议,influenced,四川暴动计划,explicit_context,not_inferred
窖头会议,influenced,弋横大暴动,explicit_context,not_inferred
修水农民暴动,part_of,秋收起义,explicit_structure,not_inferred
减租减息政策,influenced,参军运动,explicit_context,not_inferred
互助组运动,influenced,十大政策宣传,explicit_context,not_inferred
三县党,influenced,土地革命,explicit_context,not_inferred
中共八七会议,influenced,鄂北秋、收暴动,explicit_context,not_inferred
盐民联合会,part_of,保家队,explicit_structure,not_inferred
湖南省第一次工农代表大会,influenced,沅江工农运动,explicit_context,not_inferred
八七会议,influenced,秋收暴动计划,explicit_context,not_inferred
南昌政变,influenced,秋收暴动,explicit_context,not_inferred
八七会议,influenced,九江武装斗争,explicit_context,not_inferred
联防武装夺取计划,influenced,三抗运动,explicit_context,not_inferred
南京各界游行,influenced,五卅惨案,explicit_context,not_inferred
黎平会议,part_of,红军长征,explicit_structure,not_inferred
中共中央临时政治局扩大会议,influenced,无锡暴动,explicit_context,not_inferred
渡江战役,influenced,解放南京,explicit_context,not_inferred
反右倾斗争,influenced,公社整顿,explicit_context,not_inferred
昭通市学生运动,influenced,五四运动,explicit_context,not_inferred
西山战役,part_of,反扫荡斗争,explicit_structure,not_inferred
红军长征,influenced,六马农民暴动,explicit_context,not_inferred
农代会,influenced,建立政权,explicit_context,not_inferred
土城战斗,part_of,四渡赤水,explicit_structure,not_inferred
游击队集中整训,influenced,抗日救亡,explicit_context,not_inferred
第五次‘围、剿’,influenced,长征,explicit_context,not_inferred
渡江战役,influenced,景德镇地区接管,explicit_context,not_inferred
镇压反革命,part_of,土地改革,explicit_structure,not_inferred
民兵站岗,part_of,天罗地网,explicit_structure,not_inferred
西安事变,influenced,八·一三抗战,explicit_context,not_inferred
八七会议,influenced,瓦仓起义,explicit_context,not_inferred
群众斗争,influenced,反霸运动,explicit_context,not_inferred
护法运动,influenced,国民党当局镇压学生活动,explicit_context,not_inferred
上海抗日运动,part_of,反汪反汉奸反托派斗争,explicit_structure,not_inferred
八七会议,influenced,九江地区武装斗争,explicit_context,not_inferred
皖南事变,influenced,抗日救亡运动,explicit_context,not_inferred
土地改革,influenced,中小学教育发展,explicit_context,not_inferred
重庆谈判,influenced,上党战役,explicit_context,not_inferred
武汉解放,influenced,汉口-武昌轮渡,explicit_context,not_inferred
五里槐伏击战,influenced,汤沟惨案,explicit_context,not_inferred
《挺进报》事件,influenced,丰都党组织转移行动,explicit_context,not_inferred
皖南事变,influenced,重庆谈判,explicit_context,not_inferred
遵义会议,influenced,懋功会师,explicit_context,not_inferred
北伐战争,influenced,华容县农民运动,explicit_context,not_inferred
五大任务,influenced,土地改革,explicit_context,not_inferred
突破千里江防,influenced,解放南京,explicit_context,not_inferred
湖南省委第六次代表大会,influenced,水口山工人运动,explicit_context,not_inferred
白沙解放,influenced,参军参干高潮,explicit_context,not_inferred
攻打江浦城,part_of,解放南京,explicit_structure,not_inferred
生产合作社,influenced,土地革命战争,explicit_context,not_inferred
土改胜利,influenced,抗美援朝高潮,explicit_context,not_inferred
第一次各族各界代表大会,influenced,征粮剿匪运动,explicit_context,not_inferred
四渡赤水,part_of,九仓坝战斗,explicit_structure,not_inferred
云南起义,influenced,昆明学生联合会恢复运动,explicit_context,not_inferred
红军长征,part_of,四渡赤水,explicit_structure,not_inferred
反蒋游击战争,influenced,公债券发行,explicit_context,not_inferred
八小时工作制,influenced,民族革命战争,explicit_context,not_inferred
茅家岭暴动,part_of,上饶集中营斗争,explicit_structure,not_inferred
五四运动,influenced,共产主义小组,explicit_context,not_inferred
攻克天险窗子洞战斗,part_of,贵州剿匪斗争,explicit_structure,not_inferred
忽视城市工作,influenced,群众组织范围小,explicit_context,not_inferred
四渡赤水,part_of,鲁班场战斗,explicit_structure,not_inferred
宜章暴动,part_of,湘南起义,explicit_structure,not_inferred
红军长征,part_of,四渡赤水,explicit_structure,not_inferred
唐王驿会议,influenced,土地改革,explicit_context,not_inferred
重庆物价暴涨事件,influenced,金元券贬值,explicit_context,not_inferred
社会主义青年团改组,influenced,工人运动,explicit_context,not_inferred
遵义会议,influenced,抗日战争,explicit_context,not_inferred
贵阳市郊区土地改革运动,influenced,农业生产互助组,explicit_context,not_inferred
狮子营战斗,influenced,碉楼攻防战,explicit_context,not_inferred
西镇乡农民运动,influenced,北伐革命,explicit_context,not_inferred
左倾路线,influenced,第五次反‘围剿’战争,explicit_context,not_inferred
五卅运动,influenced,九江收回租界斗争,explicit_context,not_inferred
抗租抗税运动,influenced,农村经济,explicit_context,not_inferred
吴嘉湖独立团改称独立大队,influenced,嘉兴解放,explicit_context,not_inferred
八七会议,influenced,九江武装斗争,explicit_context,not_inferred
武汉会战,part_of,第二次国内革命战争,explicit_structure,not_inferred
江浙区第一次代表大会,influenced,上海工人武装暴动,explicit_context,not_inferred
徐州会战,influenced,‘前哨社’,explicit_context,not_inferred
李立三左倾冒险主义,influenced,六霍总暴动,explicit_context,not_inferred
统战政策,influenced,江津和平解放,explicit_context,not_inferred
二五减租减息,influenced,宣风桥炸桥事件,explicit_context,not_inferred
重庆谈判,influenced,野草社,explicit_context,not_inferred
党忽视农妇运动,influenced,乡村斗争受阻,explicit_context,not_inferred
湖湘区共产党与国民党关系会议,influenced,工农运动,explicit_context,not_inferred
集体栽秧,influenced,对抗国民党作恶官兵斗争,explicit_context,not_inferred
朱毛会师,influenced,工农革命军第四军成立大会,explicit_context,not_inferred
八七会议,influenced,黄麻起义,explicit_context,not_inferred
胡楼村会议,influenced,宿县起义,explicit_context,not_inferred
衡宝战役,influenced,永州解放,explicit_context,not_inferred
《呼声报》,influenced,反贪污斗争,explicit_context,not_inferred
丽江各界联合纪念大会,influenced,反罗瑛斗争,explicit_context,not_inferred
伦敦海军会议,influenced,资本进攻,explicit_context,not_inferred
清匪,part_of,土地改革,explicit_structure,not_inferred
八七会议,influenced,秋收起义,explicit_context,not_inferred
四渡赤水,part_of,乌江渡河行动,explicit_structure,not_inferred
杨家洞围歼战,part_of,贵州省西线剿匪战役,explicit_structure,not_inferred
党的政策宣传,influenced,迎接解放,explicit_context,not_inferred
八七会议,influenced,土地革命,explicit_context,not_inferred
常州解放,influenced,支援解放上海,explicit_context,not_inferred
鄂西党的二大,influenced,湘鄂西第二次工农兵贫民代表大会,explicit_context,not_inferred
反帝运动,influenced,土地革命,explicit_context,not_inferred
减租减息政策,influenced,参军运动,explicit_context,not_inferred
赣西南苏维埃运动,influenced,南昌暴动,explicit_context,not_inferred
四行仓库保卫战,part_of,八一三事变,explicit_structure,not_inferred
代表会议,influenced,平稳物价,explicit_context,not_inferred
二七会议,influenced,江西土地革命,explicit_context,not_inferred
湘江战役,part_of,长征,explicit_structure,not_inferred
湖湘区共产党与国民党关系会议,influenced,工农运动,explicit_context,not_inferred
舒城妇女组织,part_of,妇抗小组,explicit_structure,not_inferred
赣北联席会,influenced,土地革命,explicit_context,not_inferred
支前司令部,influenced,淮海战役,explicit_context,not_inferred
三甲会议,influenced,龙陵和平解放,explicit_context,not_inferred
湖北省第一次农民代表大会,influenced,西乡地区的农民革命斗争,explicit_context,not_inferred
唐王驿会议,influenced,土地改革,explicit_context,not_inferred
五四运动,influenced,劳工团,explicit_context,not_inferred
醴陵暴动,influenced,八七会议,explicit_context,not_inferred
牛街青年联谊会,influenced,牛街革命斗争,explicit_context,not_inferred
武汉会战,part_of,抗日战争,explicit_structure,not_inferred
古打战斗,part_of,将军山战役,explicit_structure,not_inferred
宁波支前工作,influenced,解放舟山群岛战役,explicit_context,not_inferred
王明‘左’倾机会主义,influenced,第二次国内革命战争,explicit_context,not_inferred
"""艳""电",influenced,湖北省人民和平运动促进会,explicit_context,not_inferred
京沪铁路罢工,influenced,吴淞地区战斗,explicit_context,not_inferred
八七会议,influenced,秋收起义,explicit_context,not_inferred
汤沟事件,influenced,抗日救亡,explicit_context,not_inferred
中国工农红军长征,influenced,抗日救国宣传运动,explicit_context,not_inferred
三浦之战,part_of,渡江战役,explicit_structure,not_inferred
九江会议,influenced,南昌起义,explicit_context,not_inferred
干部培养,influenced,革命工作,explicit_context,not_inferred
八七会议,influenced,秋收暴动计划,explicit_context,not_inferred
昭通市学生运动,influenced,五四运动,explicit_context,not_inferred
毕节县白石岩常委分工会议,influenced,黔西北革命根据地创建,explicit_context,not_inferred
平江暴动,part_of,秋收起义,explicit_structure,not_inferred
民主运动,influenced,儿童剧创作,explicit_context,not_inferred
中国共产主义青年团第四次全国代表大会,influenced,五卅运动,explicit_context,not_inferred
红军长征,influenced,六马农民暴动,explicit_context,not_inferred
设伏打击敌人,influenced,土地革命,explicit_context,not_inferred
八七会议,influenced,黄麻起义,explicit_context,not_inferred
整风运动,influenced,遵义会议,explicit_context,not_inferred
第四次党代表大会,influenced,肃反运动,explicit_context,not_inferred
"""艳""电",influenced,湖北省人民和平运动促进会,explicit_context,not_inferred
上海工人起义,influenced,四一二政变,explicit_context,not_inferred
四渡赤水战役,part_of,土城战斗,explicit_structure,not_inferred
亳县公安保卫机构,influenced,减租减息运动,explicit_context,not_inferred
重庆谈判,influenced,上党战役,explicit_context,not_inferred
杨家洞围歼战,part_of,贵州省西线剿匪战役,explicit_structure,not_inferred
