历史阶段,阶段序,省份,文化形态,观测层,状态数
全民族抗日战争,3,湖北省,InstitutionalPractice,relation_context,58
全民族抗日战争,3,湖北省,InstitutionalPractice,trusted_event_spacetime,31
全民族抗日战争,3,湖北省,MaterialCulture,relation_context,1
全民族抗日战争,3,湖北省,MemoryTransmission,asserted_event_spacetime,1
全民族抗日战争,3,湖北省,MemoryTransmission,relation_context,1
全民族抗日战争,3,湖北省,SpiritValue,asserted_event_spacetime,1
全民族抗日战争,3,湖北省,SpiritValue,relation_context,2
全民族抗日战争,3,湖北省,SpiritValue,trusted_event_spacetime,2
全民族抗日战争,3,湖南省,CreativeNarrative,relation_context,3
全民族抗日战争,3,湖南省,DocumentaryCulture,relation_context,1
全民族抗日战争,3,湖南省,DocumentaryCulture,trusted_event_spacetime,2
全民族抗日战争,3,湖南省,HistoricalPractice,asserted_event_spacetime,10
全民族抗日战争,3,湖南省,HistoricalPractice,relation_context,69
全民族抗日战争,3,湖南省,HistoricalPractice,trusted_event_spacetime,3
全民族抗日战争,3,湖南省,InstitutionalPractice,asserted_event_spacetime,23
全民族抗日战争,3,湖南省,InstitutionalPractice,relation_context,45
全民族抗日战争,3,湖南省,InstitutionalPractice,trusted_event_spacetime,27
全民族抗日战争,3,湖南省,MaterialCulture,relation_context,1
全民族抗日战争,3,湖南省,MemoryTransmission,asserted_event_spacetime,1
全民族抗日战争,3,湖南省,MemoryTransmission,relation_context,1
全民族抗日战争,3,湖南省,SpiritValue,asserted_event_spacetime,1
全民族抗日战争,3,湖南省,SpiritValue,relation_context,3
全民族抗日战争,3,湖南省,SpiritValue,trusted_event_spacetime,2
全民族抗日战争,3,西藏自治区,HistoricalPractice,relation_context,1
全民族抗日战争,3,贵州省,CreativeNarrative,relation_context,1
全民族抗日战争,3,贵州省,DocumentaryCulture,relation_context,1
全民族抗日战争,3,贵州省,HistoricalPractice,asserted_event_spacetime,11
全民族抗日战争,3,贵州省,HistoricalPractice,relation_context,137
全民族抗日战争,3,贵州省,HistoricalPractice,trusted_event_spacetime,1
全民族抗日战争,3,贵州省,InstitutionalPractice,asserted_event_spacetime,28
全民族抗日战争,3,贵州省,InstitutionalPractice,relation_context,69
全民族抗日战争,3,贵州省,InstitutionalPractice,trusted_event_spacetime,4
全民族抗日战争,3,贵州省,MaterialCulture,relation_context,2
全民族抗日战争,3,贵州省,MemoryTransmission,asserted_event_spacetime,1
全民族抗日战争,3,贵州省,MemoryTransmission,relation_context,3
全民族抗日战争,3,贵州省,SpiritValue,asserted_event_spacetime,1
全民族抗日战争,3,贵州省,SpiritValue,relation_context,2
全民族抗日战争,3,重庆市,DocumentaryCulture,relation_context,3
全民族抗日战争,3,重庆市,DocumentaryCulture,trusted_event_spacetime,1
全民族抗日战争,3,重庆市,HistoricalPractice,asserted_event_spacetime,2
全民族抗日战争,3,重庆市,HistoricalPractice,relation_context,96
全民族抗日战争,3,重庆市,HistoricalPractice,trusted_event_spacetime,1
全民族抗日战争,3,重庆市,InstitutionalPractice,asserted_event_spacetime,3
全民族抗日战争,3,重庆市,InstitutionalPractice,relation_context,49
全民族抗日战争,3,重庆市,InstitutionalPractice,trusted_event_spacetime,5
全民族抗日战争,3,重庆市,MaterialCulture,relation_context,1
全民族抗日战争,3,重庆市,MemoryTransmission,relation_context,2
全民族抗日战争,3,重庆市,SpiritValue,relation_context,2
全民族抗日战争,3,重庆市,SpiritValue,trusted_event_spacetime,2
土地革命战争,2,上海市,CreativeNarrative,relation_context,1
土地革命战争,2,上海市,DocumentaryCulture,relation_context,3
土地革命战争,2,上海市,HistoricalPractice,asserted_event_spacetime,8
土地革命战争,2,上海市,HistoricalPractice,relation_context,86
土地革命战争,2,上海市,HistoricalPractice,trusted_event_spacetime,1
土地革命战争,2,上海市,InstitutionalPractice,relation_context,48
土地革命战争,2,上海市,MaterialCulture,relation_context,2
土地革命战争,2,上海市,MemoryTransmission,relation_context,6
土地革命战争,2,上海市,SpiritValue,relation_context,9
土地革命战争,2,上海市,SpiritValue,trusted_event_spacetime,1
土地革命战争,2,云南省,CreativeNarrative,relation_context,1
土地革命战争,2,云南省,DocumentaryCulture,relation_context,1
土地革命战争,2,云南省,HistoricalPractice,asserted_event_spacetime,9
土地革命战争,2,云南省,HistoricalPractice,relation_context,118
土地革命战争,2,云南省,HistoricalPractice,trusted_event_spacetime,4
土地革命战争,2,云南省,InstitutionalPractice,asserted_event_spacetime,26
土地革命战争,2,云南省,InstitutionalPractice,relation_context,35
土地革命战争,2,云南省,InstitutionalPractice,trusted_event_spacetime,16
土地革命战争,2,云南省,MaterialCulture,relation_context,1
土地革命战争,2,云南省,MaterialCulture,trusted_event_spacetime,1
土地革命战争,2,云南省,MemoryTransmission,relation_context,1
土地革命战争,2,云南省,MemoryTransmission,trusted_event_spacetime,3
土地革命战争,2,云南省,SpiritValue,asserted_event_spacetime,1
土地革命战争,2,云南省,SpiritValue,relation_context,1
土地革命战争,2,四川省,CreativeNarrative,relation_context,1
土地革命战争,2,四川省,DocumentaryCulture,relation_context,2
土地革命战争,2,四川省,HistoricalPractice,asserted_event_spacetime,10
土地革命战争,2,四川省,HistoricalPractice,relation_context,292
土地革命战争,2,四川省,HistoricalPractice,trusted_event_spacetime,6
土地革命战争,2,四川省,InstitutionalPractice,asserted_event_spacetime,29
土地革命战争,2,四川省,InstitutionalPractice,relation_context,74
土地革命战争,2,四川省,InstitutionalPractice,trusted_event_spacetime,22
土地革命战争,2,四川省,MaterialCulture,relation_context,3
土地革命战争,2,四川省,MaterialCulture,trusted_event_spacetime,1
土地革命战争,2,四川省,MemoryTransmission,relation_context,6
土地革命战争,2,四川省,MemoryTransmission,trusted_event_spacetime,3
土地革命战争,2,四川省,SpiritValue,asserted_event_spacetime,1
土地革命战争,2,四川省,SpiritValue,trusted_event_spacetime,4
土地革命战争,2,安徽省,DocumentaryCulture,relation_context,3
土地革命战争,2,安徽省,HistoricalPractice,asserted_event_spacetime,6
土地革命战争,2,安徽省,HistoricalPractice,relation_context,175
土地革命战争,2,安徽省,HistoricalPractice,trusted_event_spacetime,5
土地革命战争,2,安徽省,InstitutionalPractice,asserted_event_spacetime,11
土地革命战争,2,安徽省,InstitutionalPractice,relation_context,77
土地革命战争,2,安徽省,InstitutionalPractice,trusted_event_spacetime,22
土地革命战争,2,安徽省,MaterialCulture,trusted_event_spacetime,1
土地革命战争,2,安徽省,MemoryTransmission,relation_context,1
土地革命战争,2,安徽省,MemoryTransmission,trusted_event_spacetime,4
土地革命战争,2,安徽省,SpiritValue,asserted_event_spacetime,1
土地革命战争,2,江苏省,CreativeNarrative,relation_context,4
土地革命战争,2,江苏省,DocumentaryCulture,relation_context,2
土地革命战争,2,江苏省,HistoricalPractice,asserted_event_spacetime,9
土地革命战争,2,江苏省,HistoricalPractice,relation_context,129
土地革命战争,2,江苏省,HistoricalPractice,trusted_event_spacetime,2
土地革命战争,2,江苏省,InstitutionalPractice,asserted_event_spacetime,15
土地革命战争,2,江苏省,InstitutionalPractice,relation_context,58
土地革命战争,2,江苏省,InstitutionalPractice,trusted_event_spacetime,5
土地革命战争,2,江苏省,MaterialCulture,relation_context,1
土地革命战争,2,江苏省,MemoryTransmission,relation_context,4
土地革命战争,2,江苏省,MemoryTransmission,trusted_event_spacetime,1
土地革命战争,2,江苏省,SpiritValue,asserted_event_spacetime,1
土地革命战争,2,江苏省,SpiritValue,relation_context,5
土地革命战争,2,江西省,DocumentaryCulture,relation_context,2
土地革命战争,2,江西省,HistoricalPractice,asserted_event_spacetime,39
土地革命战争,2,江西省,HistoricalPractice,relation_context,396
土地革命战争,2,江西省,HistoricalPractice,trusted_event_spacetime,20
土地革命战争,2,江西省,InstitutionalPractice,asserted_event_spacetime,22
土地革命战争,2,江西省,InstitutionalPractice,relation_context,62
土地革命战争,2,江西省,InstitutionalPractice,trusted_event_spacetime,48
土地革命战争,2,江西省,MaterialCulture,trusted_event_spacetime,1
土地革命战争,2,江西省,MemoryTransmission,relation_context,1
土地革命战争,2,江西省,MemoryTransmission,trusted_event_spacetime,6
土地革命战争,2,江西省,SpiritValue,asserted_event_spacetime,1
土地革命战争,2,江西省,SpiritValue,relation_context,2
土地革命战争,2,江西省,SpiritValue,trusted_event_spacetime,4
土地革命战争,2,浙江省,DocumentaryCulture,relation_context,1
土地革命战争,2,浙江省,HistoricalPractice,relation_context,8
土地革命战争,2,浙江省,InstitutionalPractice,relation_context,10
土地革命战争,2,浙江省,MemoryTransmission,relation_context,1
土地革命战争,2,浙江省,SpiritValue,relation_context,1
土地革命战争,2,湖北省,CreativeNarrative,relation_context,1
土地革命战争,2,湖北省,DocumentaryCulture,relation_context,2
土地革命战争,2,湖北省,HistoricalPractice,asserted_event_spacetime,25
土地革命战争,2,湖北省,HistoricalPractice,relation_context,262
土地革命战争,2,湖北省,HistoricalPractice,trusted_event_spacetime,10
土地革命战争,2,湖北省,InstitutionalPractice,asserted_event_spacetime,30
土地革命战争,2,湖北省,InstitutionalPractice,relation_context,63
土地革命战争,2,湖北省,InstitutionalPractice,trusted_event_spacetime,27
土地革命战争,2,湖北省,MaterialCulture,trusted_event_spacetime,1
土地革命战争,2,湖北省,MemoryTransmission,trusted_event_spacetime,6
土地革命战争,2,湖北省,SpiritValue,asserted_event_spacetime,1
土地革命战争,2,湖北省,SpiritValue,relation_context,5
土地革命战争,2,湖南省,DocumentaryCulture,relation_context,4
土地革命战争,2,湖南省,HistoricalPractice,asserted_event_spacetime,19
土地革命战争,2,湖南省,HistoricalPractice,relation_context,286
土地革命战争,2,湖南省,HistoricalPractice,trusted_event_spacetime,13
土地革命战争,2,湖南省,InstitutionalPractice,asserted_event_spacetime,27
土地革命战争,2,湖南省,InstitutionalPractice,relation_context,53
土地革命战争,2,湖南省,InstitutionalPractice,trusted_event_spacetime,35
土地革命战争,2,湖南省,MaterialCulture,relation_context,1
土地革命战争,2,湖南省,MaterialCulture,trusted_event_spacetime,1
土地革命战争,2,湖南省,MemoryTransmission,relation_context,1
土地革命战争,2,湖南省,MemoryTransmission,trusted_event_spacetime,6
土地革命战争,2,湖南省,SpiritValue,asserted_event_spacetime,1
土地革命战争,2,湖南省,SpiritValue,relation_context,6
土地革命战争,2,贵州省,CreativeNarrative,relation_context,4
土地革命战争,2,贵州省,DocumentaryCulture,relation_context,2
土地革命战争,2,贵州省,HistoricalPractice,asserted_event_spacetime,7
土地革命战争,2,贵州省,HistoricalPractice,relation_context,217
土地革命战争,2,贵州省,HistoricalPractice,trusted_event_spacetime,8
土地革命战争,2,贵州省,InstitutionalPractice,asserted_event_spacetime,27
土地革命战争,2,贵州省,InstitutionalPractice,relation_context,58
土地革命战争,2,贵州省,InstitutionalPractice,trusted_event_spacetime,40
土地革命战争,2,贵州省,MaterialCulture,relation_context,3
土地革命战争,2,贵州省,MaterialCulture,trusted_event_spacetime,1
土地革命战争,2,贵州省,MemoryTransmission,relation_context,5
土地革命战争,2,贵州省,MemoryTransmission,trusted_event_spacetime,5
土地革命战争,2,贵州省,SpiritValue,asserted_event_spacetime,1
土地革命战争,2,贵州省,SpiritValue,relation_context,2
土地革命战争,2,贵州省,SpiritValue,trusted_event_spacetime,4
土地革命战争,2,重庆市,DocumentaryCulture,relation_context,2
土地革命战争,2,重庆市,HistoricalPractice,asserted_event_spacetime,3
土地革命战争,2,重庆市,HistoricalPractice,relation_context,48
土地革命战争,2,重庆市,HistoricalPractice,trusted_event_spacetime,3
土地革命战争,2,重庆市,InstitutionalPractice,asserted_event_spacetime,9
土地革命战争,2,重庆市,InstitutionalPractice,relation_context,57
土地革命战争,2,重庆市,InstitutionalPractice,trusted_event_spacetime,8
土地革命战争,2,重庆市,MaterialCulture,relation_context,1
土地革命战争,2,重庆市,MaterialCulture,trusted_event_spacetime,2
土地革命战争,2,重庆市,MemoryTransmission,asserted_event_spacetime,1
土地革命战争,2,重庆市,MemoryTransmission,relation_context,3
土地革命战争,2,重庆市,MemoryTransmission,trusted_event_spacetime,3
土地革命战争,2,重庆市,SpiritValue,relation_context,2
建党与大革命,1,上海市,CreativeNarrative,relation_context,2
建党与大革命,1,上海市,DocumentaryCulture,relation_context,3
建党与大革命,1,上海市,HistoricalPractice,asserted_event_spacetime,8
建党与大革命,1,上海市,HistoricalPractice,relation_context,108
建党与大革命,1,上海市,HistoricalPractice,trusted_event_spacetime,3
建党与大革命,1,上海市,InstitutionalPractice,asserted_event_spacetime,15
建党与大革命,1,上海市,InstitutionalPractice,relation_context,53
建党与大革命,1,上海市,InstitutionalPractice,trusted_event_spacetime,3
建党与大革命,1,上海市,MaterialCulture,relation_context,1
建党与大革命,1,上海市,MemoryTransmission,asserted_event_spacetime,1
建党与大革命,1,上海市,MemoryTransmission,relation_context,1
建党与大革命,1,上海市,SpiritValue,relation_context,2
建党与大革命,1,上海市,SpiritValue,trusted_event_spacetime,1
建党与大革命,1,云南省,CreativeNarrative,relation_context,1
建党与大革命,1,云南省,DocumentaryCulture,relation_context,1
建党与大革命,1,云南省,HistoricalPractice,asserted_event_spacetime,4
建党与大革命,1,云南省,HistoricalPractice,relation_context,37
建党与大革命,1,云南省,HistoricalPractice,trusted_event_spacetime,1
建党与大革命,1,云南省,InstitutionalPractice,asserted_event_spacetime,12
建党与大革命,1,云南省,InstitutionalPractice,relation_context,19
建党与大革命,1,云南省,InstitutionalPractice,trusted_event_spacetime,3
建党与大革命,1,云南省,MemoryTransmission,relation_context,1
建党与大革命,1,云南省,SpiritValue,asserted_event_spacetime,1
建党与大革命,1,云南省,SpiritValue,relation_context,1
建党与大革命,1,四川省,DocumentaryCulture,relation_context,1
建党与大革命,1,四川省,HistoricalPractice,asserted_event_spacetime,4
建党与大革命,1,四川省,HistoricalPractice,relation_context,87
建党与大革命,1,四川省,InstitutionalPractice,asserted_event_spacetime,24
建党与大革命,1,四川省,InstitutionalPractice,relation_context,35
建党与大革命,1,四川省,MemoryTransmission,asserted_event_spacetime,1
建党与大革命,1,四川省,MemoryTransmission,relation_context,1
建党与大革命,1,四川省,SpiritValue,asserted_event_spacetime,1
建党与大革命,1,安徽省,DocumentaryCulture,relation_context,2
建党与大革命,1,安徽省,HistoricalPractice,asserted_event_spacetime,2
建党与大革命,1,安徽省,HistoricalPractice,relation_context,37
建党与大革命,1,安徽省,InstitutionalPractice,asserted_event_spacetime,13
建党与大革命,1,安徽省,InstitutionalPractice,relation_context,33
建党与大革命,1,安徽省,MaterialCulture,relation_context,2
建党与大革命,1,安徽省,MemoryTransmission,relation_context,2
建党与大革命,1,安徽省,SpiritValue,asserted_event_spacetime,1
建党与大革命,1,江苏省,CreativeNarrative,relation_context,2
建党与大革命,1,江苏省,DocumentaryCulture,relation_context,2
建党与大革命,1,江苏省,HistoricalPractice,asserted_event_spacetime,3
建党与大革命,1,江苏省,HistoricalPractice,relation_context,70
建党与大革命,1,江苏省,HistoricalPractice,trusted_event_spacetime,1
建党与大革命,1,江苏省,InstitutionalPractice,asserted_event_spacetime,26
建党与大革命,1,江苏省,InstitutionalPractice,relation_context,20
建党与大革命,1,江苏省,InstitutionalPractice,trusted_event_spacetime,3
建党与大革命,1,江苏省,MemoryTransmission,asserted_event_spacetime,1
建党与大革命,1,江苏省,SpiritValue,asserted_event_spacetime,1
建党与大革命,1,江苏省,SpiritValue,relation_context,2
建党与大革命,1,江西省,CreativeNarrative,relation_context,2
建党与大革命,1,江西省,DocumentaryCulture,relation_context,4
建党与大革命,1,江西省,HistoricalPractice,asserted_event_spacetime,24
建党与大革命,1,江西省,HistoricalPractice,relation_context,132
建党与大革命,1,江西省,HistoricalPractice,trusted_event_spacetime,6
建党与大革命,1,江西省,InstitutionalPractice,asserted_event_spacetime,30
建党与大革命,1,江西省,InstitutionalPractice,relation_context,44
建党与大革命,1,江西省,InstitutionalPractice,trusted_event_spacetime,1
建党与大革命,1,江西省,MaterialCulture,relation_context,1
建党与大革命,1,江西省,MemoryTransmission,asserted_event_spacetime,1
建党与大革命,1,江西省,MemoryTransmission,relation_context,3
建党与大革命,1,江西省,SpiritValue,asserted_event_spacetime,2
建党与大革命,1,江西省,SpiritValue,relation_context,2
建党与大革命,1,浙江省,HistoricalPractice,relation_context,6
建党与大革命,1,浙江省,InstitutionalPractice,relation_context,1
建党与大革命,1,湖北省,CreativeNarrative,relation_context,1
建党与大革命,1,湖北省,DocumentaryCulture,relation_context,3
建党与大革命,1,湖北省,HistoricalPractice,asserted_event_spacetime,19
建党与大革命,1,湖北省,HistoricalPractice,relation_context,161
建党与大革命,1,湖北省,HistoricalPractice,trusted_event_spacetime,3
建党与大革命,1,湖北省,InstitutionalPractice,asserted_event_spacetime,29
建党与大革命,1,湖北省,InstitutionalPractice,relation_context,44
建党与大革命,1,湖北省,MaterialCulture,relation_context,1
建党与大革命,1,湖北省,MemoryTransmission,asserted_event_spacetime,1
建党与大革命,1,湖北省,MemoryTransmission,relation_context,3
建党与大革命,1,湖北省,SpiritValue,asserted_event_spacetime,1
建党与大革命,1,湖北省,SpiritValue,relation_context,2
建党与大革命,1,湖南省,CreativeNarrative,relation_context,1
建党与大革命,1,湖南省,DocumentaryCulture,relation_context,4
建党与大革命,1,湖南省,DocumentaryCulture,trusted_event_spacetime,1
建党与大革命,1,湖南省,HistoricalPractice,asserted_event_spacetime,19
建党与大革命,1,湖南省,HistoricalPractice,relation_context,213
建党与大革命,1,湖南省,HistoricalPractice,trusted_event_spacetime,7
建党与大革命,1,湖南省,InstitutionalPractice,asserted_event_spacetime,27
建党与大革命,1,湖南省,InstitutionalPractice,relation_context,58
建党与大革命,1,湖南省,InstitutionalPractice,trusted_event_spacetime,5
建党与大革命,1,湖南省,MaterialCulture,relation_context,1
建党与大革命,1,湖南省,MemoryTransmission,asserted_event_spacetime,1
建党与大革命,1,湖南省,MemoryTransmission,relation_context,3
建党与大革命,1,湖南省,SpiritValue,asserted_event_spacetime,2
建党与大革命,1,湖南省,SpiritValue,relation_context,2
建党与大革命,1,贵州省,HistoricalPractice,asserted_event_spacetime,2
建党与大革命,1,贵州省,HistoricalPractice,relation_context,11
建党与大革命,1,贵州省,InstitutionalPractice,asserted_event_spacetime,23
建党与大革命,1,贵州省,InstitutionalPractice,relation_context,7
建党与大革命,1,贵州省,MaterialCulture,relation_context,1
建党与大革命,1,贵州省,MemoryTransmission,asserted_event_spacetime,1
建党与大革命,1,贵州省,MemoryTransmission,relation_context,2
建党与大革命,1,贵州省,SpiritValue,asserted_event_spacetime,1
建党与大革命,1,重庆市,DocumentaryCulture,relation_context,1
建党与大革命,1,重庆市,HistoricalPractice,asserted_event_spacetime,1
建党与大革命,1,重庆市,HistoricalPractice,relation_context,40
建党与大革命,1,重庆市,HistoricalPractice,trusted_event_spacetime,2
建党与大革命,1,重庆市,InstitutionalPractice,relation_context,30
建党与大革命,1,重庆市,InstitutionalPractice,trusted_event_spacetime,4
建党与大革命,1,重庆市,MaterialCulture,relation_context,1
建党与大革命,1,重庆市,MaterialCulture,trusted_event_spacetime,1
建党与大革命,1,重庆市,MemoryTransmission,relation_context,1
建党与大革命,1,重庆市,MemoryTransmission,trusted_event_spacetime,1
建党与大革命,1,重庆市,SpiritValue,relation_context,1
建党前传播与孕育,0,上海市,CreativeNarrative,trusted_event_spacetime,1
建党前传播与孕育,0,上海市,DocumentaryCulture,trusted_event_spacetime,1
建党前传播与孕育,0,上海市,HistoricalPractice,asserted_event_spacetime,1
建党前传播与孕育,0,上海市,HistoricalPractice,relation_context,16
建党前传播与孕育,0,上海市,HistoricalPractice,trusted_event_spacetime,3
建党前传播与孕育,0,上海市,InstitutionalPractice,relation_context,4
建党前传播与孕育,0,上海市,InstitutionalPractice,trusted_event_spacetime,3
建党前传播与孕育,0,云南省,CreativeNarrative,trusted_event_spacetime,1
建党前传播与孕育,0,云南省,DocumentaryCulture,trusted_event_spacetime,1
建党前传播与孕育,0,云南省,HistoricalPractice,relation_context,6
建党前传播与孕育,0,云南省,HistoricalPractice,trusted_event_spacetime,1
建党前传播与孕育,0,云南省,InstitutionalPractice,trusted_event_spacetime,3
建党前传播与孕育,0,四川省,CreativeNarrative,trusted_event_spacetime,1
建党前传播与孕育,0,四川省,DocumentaryCulture,trusted_event_spacetime,1
建党前传播与孕育,0,四川省,HistoricalPractice,asserted_event_spacetime,1
建党前传播与孕育,0,四川省,HistoricalPractice,relation_context,24
建党前传播与孕育,0,四川省,HistoricalPractice,trusted_event_spacetime,1
建党前传播与孕育,0,四川省,InstitutionalPractice,relation_context,4
建党前传播与孕育,0,四川省,InstitutionalPractice,trusted_event_spacetime,3
建党前传播与孕育,0,安徽省,HistoricalPractice,relation_context,10
建党前传播与孕育,0,安徽省,HistoricalPractice,trusted_event_spacetime,1
建党前传播与孕育,0,安徽省,InstitutionalPractice,relation_context,6
建党前传播与孕育,0,安徽省,MaterialCulture,relation_context,1
建党前传播与孕育,0,安徽省,MemoryTransmission,relation_context,1
建党前传播与孕育,0,江苏省,CreativeNarrative,relation_context,1
建党前传播与孕育,0,江苏省,DocumentaryCulture,relation_context,1
建党前传播与孕育,0,江苏省,HistoricalPractice,relation_context,10
建党前传播与孕育,0,江苏省,InstitutionalPractice,relation_context,7
建党前传播与孕育,0,江西省,CreativeNarrative,relation_context,1
建党前传播与孕育,0,江西省,DocumentaryCulture,relation_context,5
建党前传播与孕育,0,江西省,HistoricalPractice,asserted_event_spacetime,3
建党前传播与孕育,0,江西省,HistoricalPractice,relation_context,25
建党前传播与孕育,0,江西省,HistoricalPractice,trusted_event_spacetime,2
建党前传播与孕育,0,江西省,InstitutionalPractice,asserted_event_spacetime,1
