事件名,严格断言数,全部断言数,受控角色数,省域数,观测起,观测止,状态
民主青年联合会筹备会,0,1,0,0,,,context_only
中心县委成立,0,8,0,0,,,context_only
赴东北解放区,0,1,0,0,,,context_only
泰兴战役,0,3,0,0,,,context_only
农暴,1,49,34,0,,,strict_backbone
反美抗暴示威游行,0,2,2,0,,,strict_backbone
武汉新闻界斗争,0,5,2,1,,,strict_backbone
加强统一集中领导,0,3,0,0,,,context_only
加强镇反工作侦破暴乱案,0,1,0,0,,,context_only
智取宜章,2,13,5,1,,,strict_backbone
诉苦教育,0,20,4,1,,,strict_backbone
《伏牛文艺社》,0,2,2,0,,,strict_backbone
通甸暴动,2,16,12,0,1940-01-01,1940-12-31,strict_backbone
农民主动反抗,1,6,1,1,,,strict_backbone
没收稻谷衣物分给贫农,0,3,0,0,,,context_only
修械厂,0,3,0,0,,,context_only
1950年端阳节战斗,0,3,1,1,,,strict_backbone
起义排兵,0,1,1,0,,,strict_backbone
七一五反革命政变,0,10,0,0,,,context_only
斜桥伏击战(全歼),1,4,2,0,,,strict_backbone
解放活动,0,3,1,0,,,strict_backbone
淮城解放,0,12,6,1,1945-01-01,1945-12-31,strict_backbone
苏中解放区,2,22,2,1,,,strict_backbone
四·一七反蒋公开斗争,0,2,2,0,,,strict_backbone
借积谷斗争,0,1,1,0,,,strict_backbone
南皋地区剿匪,0,6,0,1,,,context_only
订租任务/财政工作,0,2,0,0,,,context_only
武器藏匿事件,0,5,2,1,,,strict_backbone
中江和平解放,0,2,2,0,,,strict_backbone
红军伤员转移事件,0,3,3,0,,,strict_backbone
民主政治,0,6,2,0,,,strict_backbone
弥泸地区战斗,0,3,0,1,,,context_only
写标语宣传,0,3,1,1,,,strict_backbone
粮食支援,0,2,0,0,,,context_only
解放战争后期,2,2,2,0,,,strict_backbone
土地改革复查,0,4,4,1,1952-01-01,1952-12-31,strict_backbone
征借粮工作,0,3,3,0,,,strict_backbone
度里坝战斗,0,2,2,0,,,strict_backbone
六中队学生集训,0,5,1,0,,,strict_backbone
禁毒工作部署与逮捕,0,3,1,0,,,strict_backbone
宜良城战役,0,3,1,1,,,strict_backbone
新干事件,0,8,3,0,,,strict_backbone
人民自卫总队,0,2,1,0,,,strict_backbone
川鄂边游击队活动,0,3,1,0,,,strict_backbone
楠木桥战斗,0,2,2,0,,,strict_backbone
四师政治部学习活动,0,3,0,0,,,context_only
张庄战斗,0,1,0,0,,,context_only
佃农与庄田制度,0,1,0,0,,,context_only
呼声社成立,0,1,0,0,,,context_only
苏维埃工作人员训练班,0,3,2,0,,,strict_backbone
郭豫皖斗争,0,4,4,2,,,strict_backbone
镇江-句容-金坛公路破坏战,0,2,2,0,,,strict_backbone
灌云警卫团,0,5,0,0,,,context_only
战略防御问题,0,3,0,0,,,context_only
抗大九分校过江行动,0,3,0,0,,,context_only
水龙山激战,0,2,2,0,,,strict_backbone
监狱暴动,0,2,2,0,,,strict_backbone
反三征,0,20,1,0,,,strict_backbone
五·四纪念活动周,0,2,0,0,,,context_only
谭家桥一战,1,1,1,0,,,strict_backbone
溧阳绿家庄会议,0,3,0,0,,,context_only
上海租界五卅惨案,0,1,0,0,,,context_only
游击队发动,0,2,1,0,,,strict_backbone
便衣队取子弹,0,3,3,0,,,strict_backbone
杨集/烟墩武装起义,0,2,0,0,,,context_only
缴械安置,0,3,1,0,,,strict_backbone
红三军攻打荆门,2,2,2,0,,,strict_backbone
湘鄂西第四次党代会,0,3,1,0,,,strict_backbone
国民党大逮捕,0,3,1,0,,,strict_backbone
清匪反霸土改,0,3,1,0,,,strict_backbone
江陵苏皖陀寺暴动,1,2,2,0,,,strict_backbone
牛街大队,0,1,0,0,,,context_only
搜集敌伪资料与情报,0,2,0,0,,,context_only
舟山战役部署,0,3,1,0,,,strict_backbone
小河口会议,0,27,7,0,,,strict_backbone
抗敌宣传团,0,6,1,0,,,strict_backbone
灌云游击大队,0,3,0,0,,,context_only
弋横农民起义,2,7,5,0,,,strict_backbone
宪政座谈会,0,15,9,1,,,strict_backbone
邮路恢复与军情通报,0,5,0,0,,,context_only
冀东抗日大起义,1,2,2,0,,,strict_backbone
苏南地区解放行动,0,4,1,1,,,strict_backbone
宿县民主运动,0,4,4,0,,,strict_backbone
坚持苏中敌后战斗,0,3,0,0,,,context_only
历史遗留问题落实,0,1,0,0,,,context_only
八达中队,0,5,1,1,,,strict_backbone
淮北农民武装暴动,0,5,3,0,,,strict_backbone
进军大西南与征粮,0,2,2,0,,,strict_backbone
三届农代大会,0,3,1,1,,,strict_backbone
预备武器与争斗注意事项,0,3,1,0,,,strict_backbone
农贷清理工作,0,3,1,0,,,strict_backbone
滇南农村工作,0,4,0,0,,,context_only
支前庆功大会,0,6,1,0,,,strict_backbone
镇压读书会,0,2,0,0,,,context_only
列宁号飞机事件,0,3,0,0,,,context_only
疫病流行,0,3,0,0,,,context_only
干部理论教育,1,5,2,0,,,strict_backbone
梅山口、五贵桥等战斗地点,0,1,0,0,,,context_only
《向导》周刊,0,2,0,0,,,context_only
攻打黔江城,0,3,1,0,,,strict_backbone
俘虏山战斗,0,5,3,1,,,strict_backbone
红一方面军成立,0,5,2,1,,,strict_backbone
武装根据地建立,0,3,2,0,,,strict_backbone
东乡农支,0,3,0,0,,,context_only
南下大军与地方工作干部会师,0,2,2,0,,,strict_backbone
买湾战斗喊话与缴械,0,3,0,0,,,context_only
调查农民土地问题,1,2,2,0,,,strict_backbone
军政干部识字班,0,3,0,1,,,context_only
随将岭伏击战,0,2,0,0,,,context_only
政治整训,0,3,0,0,,,context_only
宣传标准制定与假期工作,0,3,0,0,,,context_only
智擒严凤刚,0,11,3,0,,,strict_backbone
徐州铁路抢修运动,0,5,2,0,1948-11-01,1948-11-30,strict_backbone
马占寺战斗,0,9,7,0,,,strict_backbone
强渡开阳县洛旺河渡口,1,3,1,0,,,strict_backbone
鄂东高山铺战斗,0,2,2,0,,,strict_backbone
葛源之战,1,3,1,1,,,strict_backbone
将山战役,0,2,2,0,,,strict_backbone
惠水反击大队,0,3,2,0,,,strict_backbone
文艺座谈,0,1,1,0,,,strict_backbone
识字教育,0,3,0,0,,,context_only
反对王明错误领导,0,3,0,0,,,context_only
重庆参政会,0,2,2,0,,,strict_backbone
独树镇战斗,0,8,2,0,,,strict_backbone
减租运动,3,67,30,2,1940-01-01,1940-12-31,strict_backbone
李堡、栟茶战役,0,0,0,0,,,isolated
宣威县起义,0,2,2,0,,,strict_backbone
护送宋至平,0,3,2,0,,,strict_backbone
六甲海伏击战,0,2,2,0,,,strict_backbone
边防队,0,3,0,0,,,context_only
修建碉堡,0,1,0,0,,,context_only
四·二一学生运动,1,63,21,2,1944-01-01,1944-12-31,strict_backbone
北京学生运动,0,1,0,0,,,context_only
渔亭乡公所袭击事件,0,2,0,0,,,context_only
反帝大同盟集会,0,2,2,0,,,strict_backbone
桐城起义,0,1,0,0,,,context_only
识破特务,0,2,1,0,,,strict_backbone
边胞训练班/培养少数民族干部,0,1,0,0,,,context_only
白军,0,5,0,0,,,context_only
皖南特委破坏事件,0,4,4,0,,,strict_backbone
中央二月来信,0,3,1,0,,,strict_backbone
攻打高视镇战斗,0,3,3,0,,,strict_backbone
氢弹物理方案,1,3,1,0,,,strict_backbone
第九十九旅被歼,0,3,1,0,,,strict_backbone
罢更斗争,0,3,2,0,,,strict_backbone
清剿加巴残匪,0,1,0,0,,,context_only
皖东北抗日游击战争,0,2,0,0,,,context_only
抗日游击队成立,0,3,0,0,,,context_only
贵州解放,1,9,7,0,,,strict_backbone
反对国民党甄别考试斗争,0,2,2,0,,,strict_backbone
福贡起义,2,14,8,1,,,strict_backbone
江北解放区,0,1,0,0,,,context_only
江西解放与军管工作,0,2,2,0,,,strict_backbone
华南大学启封事件,0,2,0,0,,,context_only
解放海岛清剿,0,3,0,0,,,context_only
反帝国主义斗争,0,3,3,0,,,strict_backbone
拥红会,1,8,2,0,,,strict_backbone
泰州战斗,0,7,7,0,,,strict_backbone
二野五兵团渡江行动,0,2,2,0,,,strict_backbone
石屋坑农民团,0,3,2,0,,,strict_backbone
唯物辩证法学习,0,1,1,0,,,strict_backbone
小凉山彝族武装斗争,0,2,2,1,,,strict_backbone
驱黄周宇学生运动,1,2,2,0,,,strict_backbone
暴动烈士,0,1,0,0,,,context_only
播乐起义,0,8,6,1,1940-01-01,1940-12-31,strict_backbone
战斗善后,0,2,1,0,,,strict_backbone
陈潜起义,0,2,2,0,,,strict_backbone
打土豪与分粮,0,5,2,0,,,strict_backbone
总结工作指示,0,3,1,0,,,strict_backbone
游击战争发动,0,2,2,0,,,strict_backbone
合法斗争,0,1,1,0,,,strict_backbone
江津土兵起义,0,9,2,0,,,strict_backbone
护厂保产/炸桥与解放,0,1,1,0,,,strict_backbone
余姚盐民协会成立大会,0,2,0,0,,,context_only
湘鄂赣川农民运动,0,3,3,0,,,strict_backbone
淮海战役支前,0,11,5,0,,,strict_backbone
英勇跳崖牺牲,0,3,0,0,,,context_only
军政干部会议,0,1,1,0,,,strict_backbone
反国民党理论斗争,0,1,0,0,,,context_only
地方团第二次代表大会,1,6,4,0,,,strict_backbone
共军过境剑河残破,0,4,0,0,,,context_only
人民解放社,0,3,0,0,,,context_only
钟山乡武装斗争,0,3,1,0,,,strict_backbone
生产军用面粉,0,3,0,0,,,context_only
抗日读书会,0,2,1,0,,,strict_backbone
捐献黔南号战斗机,0,1,0,0,,,context_only
罗平反蒋武装斗争,0,4,1,0,,,strict_backbone
石头城前抗日斗争,0,3,1,0,,,strict_backbone
冲击政府援救冯大湘事件,0,1,0,0,,,context_only
房县根据地保卫战,0,2,2,0,,,strict_backbone
毕节地区学员实践史料征编座谈会,0,6,2,0,,,strict_backbone
基干武装,0,1,0,0,,,context_only
宜章暴动计划,1,2,2,0,,,strict_backbone
红四军挺进赣南,0,2,2,0,,,strict_backbone
组建护乡团,0,3,2,0,,,strict_backbone
万县惨案雪耻会,1,2,2,0,,,strict_backbone
会剿命令,0,8,2,0,,,strict_backbone
横山武工队活动,0,4,1,0,,,strict_backbone
铜蒙山战斗,1,9,2,1,,,strict_backbone
黎榕从合围总结,0,2,0,0,,,context_only
夜袭乡公所,0,2,2,0,,,strict_backbone
成都学生爱国民主运动,0,6,0,1,,,context_only
解放江南,1,3,3,0,,,strict_backbone
云南卢汉起义,1,2,1,0,,,strict_backbone
打法官斗争,0,6,1,1,,,strict_backbone
崇义暴动大队,0,1,0,0,,,context_only
第一次反“围剿”龙冈战役,0,3,0,0,,,context_only
扶助正当工商业,0,2,1,0,,,strict_backbone
石屏解放与接管旧政权,0,3,1,0,,,strict_backbone
减租退押说理大会,0,1,0,0,,,context_only
收缴武装行动,0,3,1,0,,,strict_backbone
清剿土匪运动,0,3,0,0,,,context_only
秘密公路宣传工作,0,2,2,0,,,strict_backbone
红军与白军战斗,0,3,0,0,,,context_only
刘邓大军南下鄂东,0,2,2,0,,,strict_backbone
五龙暴动,0,5,1,0,,,strict_backbone
匪徒袭击与暴乱,0,12,0,0,,,context_only
话剧教育,0,2,0,0,,,context_only
短工会斗争,1,1,1,0,,,strict_backbone
打土豪、分田地,0,2,2,0,,,strict_backbone
建筑业民改控诉斗争,0,2,0,0,,,context_only
李庄之役,0,2,2,0,,,strict_backbone
珠湖秋收暴动,1,5,3,0,,,strict_backbone
攻打泗州城战斗,0,6,4,2,,,strict_backbone
劳资协商,0,2,2,0,,,strict_backbone
解放湖南,0,5,2,0,,,strict_backbone
建党训练班,1,3,1,0,,,strict_backbone
高大坪完小创办,0,4,2,0,,,strict_backbone
第三次九江会议,0,2,0,0,,,context_only
组建人民武装,0,1,1,0,,,strict_backbone
肃清毒品流行计划,0,5,0,0,,,context_only
上海工人总罢工,0,2,0,0,,,context_only
酒贝笼战斗,0,3,3,0,,,strict_backbone
迎军支前,0,3,1,0,,,strict_backbone
沙人工作团,0,2,0,0,,,context_only
反侵略运动,0,2,0,0,,,context_only
湘鄂西第二次工农兵代表大会,0,1,0,0,,,context_only
12·1运动,0,2,2,0,,,strict_backbone
捧鲊游击大队,0,3,0,0,,,context_only
基层政权改造,1,9,5,0,,,strict_backbone
103师电台工作,0,5,2,0,,,strict_backbone
创建革命根据地斗争,0,4,4,1,,,strict_backbone
化装侦察,0,4,1,0,,,strict_backbone
津浦路徐济段战役,0,2,2,0,,,strict_backbone
江抗东路司令部,0,4,0,0,,,context_only
川中游击队队长队,0,2,0,0,,,context_only
中国青年救国团,0,3,2,0,,,strict_backbone
秘密运藏电台任务,0,3,1,0,,,strict_backbone
抗日教育运动,0,2,2,0,,,strict_backbone
积德团,1,5,2,0,,,strict_backbone
长征途中,0,5,0,0,,,context_only
夜壶队,0,3,0,0,,,context_only
粮秣筹办,0,3,2,0,,,strict_backbone
策划武装起义,0,1,0,0,,,context_only
大方战斗,0,5,3,1,,,strict_backbone
宁波支前工作,0,5,4,0,,,strict_backbone
泗沭武工队战斗,0,2,0,0,,,context_only
“汤团”行动,0,8,2,1,,,strict_backbone
徐州社会主义青年团成立事件,0,6,1,0,,,strict_backbone
思南县大队组建,0,2,0,0,,,context_only
赣州城围攻,1,2,2,0,,,strict_backbone
营救丁文事件,0,6,4,0,,,strict_backbone
一·二·九运动在淮安,0,1,0,0,,,context_only
提出谈判条件与集中整编,0,5,2,0,,,strict_backbone
接送朱家璧保卫建军工作,0,3,1,0,,,strict_backbone
1941年抗日宣传与越狱斗争,0,6,2,0,,,strict_backbone
考入女中/接受启蒙,0,1,1,0,,,strict_backbone
护法运动,0,3,1,0,,,strict_backbone
主力调回路东建议,0,4,0,0,,,context_only
红色五月暴动,0,3,1,0,,,strict_backbone
汉口英美香烟厂工人罢工,0,4,4,0,,,strict_backbone
党小组建立,1,3,1,0,,,strict_backbone
潼南兵变,0,2,0,0,,,context_only
赣西南第一次代表大会,0,2,2,0,,,strict_backbone
叙永战斗,0,5,2,0,,,strict_backbone
沪汉惨案外交后援会,3,11,5,1,,,strict_backbone
淮海区青救会,0,5,0,0,,,context_only
整风第三阶段总结,0,4,0,0,,,context_only
反对国民党征兵征粮征税斗争,1,2,1,0,,,strict_backbone
世界革命,1,6,1,0,,,strict_backbone
湖岸地区解放会,0,2,2,0,,,strict_backbone
北上长征,0,1,0,0,,,context_only
渡过金沙江,2,6,3,0,,,strict_backbone
支部建立,0,1,0,0,,,context_only
甘沟战斗,0,1,0,0,,,context_only
洪泽湖游击战,0,9,1,1,,,strict_backbone
徐特立入党事件,0,2,0,0,,,context_only
第三期土改,0,5,2,0,,,strict_backbone
行政区划调整,0,14,0,0,,,context_only
反封建势力,0,3,1,0,,,strict_backbone
通海县人民政府成立,0,2,0,0,,,context_only
广州起义准备,0,2,2,0,,,strict_backbone
宜都解放,0,2,0,0,,,context_only
湖北工农武装暴动指导策略答辩,0,6,1,0,,,strict_backbone
检阅大会收获与缺点,0,5,1,0,,,strict_backbone
小马庄战斗,0,2,0,0,,,context_only
扎西地区战斗,0,2,2,0,,,strict_backbone
小老龙战斗,0,3,0,0,,,context_only
湖北农运,1,3,3,0,,,strict_backbone
三星暴动,0,10,8,1,,,strict_backbone
洪湖之役,2,9,4,0,,,strict_backbone
南京‘四·一’反革命事件,2,3,3,0,,,strict_backbone
暴动失败敌人清乡,0,3,1,0,,,strict_backbone
教育司请愿,0,3,0,0,,,context_only
朱昌游击大队,0,4,1,1,,,strict_backbone
恢复县委与游击斗争,0,3,0,1,,,context_only
敌军军事会议,0,1,1,0,,,strict_backbone
孙楼战斗,1,3,1,0,,,strict_backbone
识破伪装绳捆手扭,0,2,1,0,,,strict_backbone
第二次袭击广顺,0,2,1,0,,,strict_backbone
策动安县保卫团兵变武装暴动,0,11,0,0,,,context_only
减租条例,0,3,0,0,,,context_only
崇仁剿匪,0,2,2,0,,,strict_backbone
第二次繁昌保卫战,0,2,2,0,,,strict_backbone
进攻长沙,0,3,0,0,,,context_only
反美扶日、反迫害分会,0,0,0,0,,,isolated
反对帝国主义惨杀上海同胞江西会罢工,1,2,2,0,,,strict_backbone
中共湘潭地下党成立会议,1,6,1,1,,,strict_backbone
控诉地主,0,1,1,0,,,strict_backbone
芜湖解放,0,2,0,0,,,context_only
缴获选马,0,1,0,0,,,context_only
变卖田产,1,4,1,0,,,strict_backbone
苏鲁战役,0,1,0,0,,,context_only
奉节城攻防战,0,3,2,0,,,strict_backbone
反动文人易家钺攻击湖南和安徽学生运动,0,2,2,0,,,strict_backbone
奔袭雪洞行动,1,5,3,1,,,strict_backbone
剑川事件,0,4,2,0,,,strict_backbone
反封建土改运动,0,4,2,0,,,strict_backbone
开辟襄西,0,4,2,0,,,strict_backbone
江西铜鼓战斗,0,1,0,0,,,context_only
沐川2月23日凤村天宝山暴动,0,3,3,0,,,strict_backbone
智取吕家小圩子,0,2,2,0,,,strict_backbone
毛泽东在省立三师发展党员,0,2,0,0,,,context_only
三打月潭乡公所,1,6,6,0,,,strict_backbone
遂川城战斗,0,6,6,0,,,strict_backbone
西山会议派,0,6,1,0,,,strict_backbone
钟山乡江防大队,0,4,2,0,,,strict_backbone
闽西苏区反围剿胜利,0,1,0,0,,,context_only
郑坊大捷,0,5,5,0,,,strict_backbone
如皋县新兵团,0,1,0,0,,,context_only
兵变行动方针,0,2,2,0,,,strict_backbone
反六路围攻战斗,0,2,2,0,,,strict_backbone
国民党中央政治讲习班,1,1,1,0,,,strict_backbone
核心组织,2,4,4,0,,,strict_backbone
沙子岭战斗,0,5,1,0,,,strict_backbone
《延安颂》,0,1,0,0,,,context_only
忠县和平解放,1,13,8,0,,,strict_backbone
临时党小组成立,0,3,1,1,,,strict_backbone
横峰城战斗,0,5,3,1,,,strict_backbone
传播马列主义,1,7,2,0,,,strict_backbone
建立根据地/肃反,0,1,1,0,,,strict_backbone
皖省动员会,0,3,0,0,,,context_only
就地坚持斗争,0,2,0,0,,,context_only
劳工团,4,13,7,0,,,strict_backbone
上海总工会第三次代表大会,1,3,3,0,,,strict_backbone
西河治理工程,0,4,2,0,,,strict_backbone
黔东南地区剿匪斗争,0,2,2,0,,,strict_backbone
拥政爱民运动,0,8,2,1,,,strict_backbone
流动税站,0,1,0,0,,,context_only
《大众报》社成立,0,2,0,0,,,context_only
酷刑考验,0,2,0,0,,,context_only
斗争恶霸地主,1,3,1,0,,,strict_backbone
支部会议,0,3,0,0,,,context_only
成立黔桂边委,0,1,0,0,,,context_only
襄樊战役,4,23,9,1,,,strict_backbone
中村战斗,0,6,4,0,,,strict_backbone
活捉厉式福,0,1,0,0,,,context_only
后方战时工作团,0,3,0,0,,,context_only
护矿组织互助会,0,3,0,0,,,context_only
京沪治安会议与清剿茅山,0,5,3,0,,,strict_backbone
猴场会议,1,29,6,1,,,strict_backbone
抗日救亡团体,0,4,0,0,,,context_only
相机行动,1,1,1,0,,,strict_backbone
庆祝抗日胜利大会,0,3,1,1,,,strict_backbone
六、一逮捕事件,0,1,0,0,,,context_only
清剿谢世钦匪部行动,0,3,1,0,,,strict_backbone
服务队,0,5,0,0,,,context_only
四·一五广州反革命政变,0,1,1,0,,,strict_backbone
长沙战争,0,3,1,1,,,strict_backbone
湘南斗争,1,9,9,0,,,strict_backbone
山城堡战役,0,3,3,0,,,strict_backbone
苏北地区斗争,0,4,1,0,,,strict_backbone
四·一·〇反革命事件,0,4,0,0,,,context_only
黔东特区撤离行动,0,2,2,0,,,strict_backbone
挽范游行,0,5,3,0,,,strict_backbone
公开与秘密工作联系,0,3,1,0,,,strict_backbone
泥龙垭战斗,0,3,1,1,,,strict_backbone
广东省农民协会执委扩大会议,0,1,0,0,,,context_only
下坊农民运动,0,1,1,0,,,strict_backbone
部队改造运动,0,3,1,0,,,strict_backbone
英山北部剿匪与土改,0,1,0,0,,,context_only
纪念“五卅”发表文章,0,5,0,0,,,context_only
城区话剧团等,0,3,0,0,,,context_only
抢渡沅水,1,9,6,1,,,strict_backbone
解放盱眙城,0,1,0,0,,,context_only
鄂西斗争,0,2,2,0,,,strict_backbone
徐海总暴动准备,0,1,0,0,,,context_only
滇南作战,2,9,6,0,,,strict_backbone
郑潭口战斗,0,10,7,0,,,strict_backbone
进剿驻剿部署,2,14,10,0,,,strict_backbone
渔池弄开辟工作,2,2,2,0,,,strict_backbone
伪装宣传品/策反伪军日军,0,3,0,0,,,context_only
松江县召开各界人民代表会议,0,5,3,0,1949-10-01,1949-10-31,strict_backbone
盐阜区司法扩大会,0,1,0,0,,,context_only
景明大楼事件,0,6,2,0,,,strict_backbone
独四团,0,3,0,0,,,context_only
中共中央紧急会议,0,3,0,0,,,context_only
桃源农民运动,2,4,4,0,,,strict_backbone
学生救亡会,0,2,0,0,,,context_only
诗言社,0,2,2,0,,,strict_backbone
三都战斗,1,2,2,0,,,strict_backbone
松树坪战斗,0,5,2,1,,,strict_backbone
