主体ID,主体名,主体类型,谓词,客体ID,客体名,客体类型,省份,时间
IENT-e1c92ef8e90b067e6ce3cd08,红二军团,Organization,active_at,IENT-a130cfefd7094c0b80117812,湘鄂西,Place,,
IENT-623e0e4dc7c261448c47f851,钱震宇,Person,held_position_in,IENT-757983a04fa57657052612b7,金坛西南区抗敌自卫委员会,Organization,,
IENT-0b636391012d5508e9662459,徐风寒,Person,led,IENT-14919a0bf392b8b686b6022f,中共宿县临时县委,Organization,,
IENT-11b6e3751e683bbca0634da2,吴重光,Person,active_at,IENT-1b09cee0828565e9a8a7aaf3,黄泥乡,Place,,
IENT-b5859d6aecf6adfe81abb60c,罗炳辉,Person,held_position_in,IENT-4c5cb04f298c183eb01a9293,九军团,Organization,,
IENT-b1bc66b2d98e14b5859e7d90,沈泽民,Person,led,IENT-313f67e37f898ec5e036ed05,南京党小组,Organization,江苏省,1923-01-01
IENT-fa7442ee3012d0b357dd3003,李志彦,Person,led,IENT-050949d19a17991a20b3282a,游击队武装斗争,Event,,
IENT-2dfb155def862769c7af18fd,华岗,Person,opposed,IENT-a519734071ce765fe06ea422,王明,Person,,1938-01-01
IENT-9c3d653f5bc1b1d45537c987,工作队,Organization,participated_in,IENT-1170c0185dc9d7b53196b632,土改,Event,,
IENT-552a99c5c9e2748dbfbed996,方鹤鸣,Person,active_at,IENT-e61add957e148ca1db1c1f65,牛头山区,Place,,
ITOPIC-db5e182947c9eaa5b0c89a53,进藏英雄先遣连精神,Spirit,has_value_facet,ITOPIC-f74f749d0110d4fa9d8c6f2f,革命硬骨头,ValueFacet,,
IENT-4ed5697b92fb30e2659e4fb7,红三军,Organization,fought_at,IENT-742a390f616d93746a9a1bb0,钟祥,Place,,
IENT-1c5d0552f4a7ccad4fba6848,余泽鸿,Person,active_at,IENT-e378ece6b421e362e43fa82b,石坎子,Place,,
IENT-49c4e484025401db8ed603bf,罗洪标,Person,participated_in,IENT-003cda39b8f5e2ea079f0d9b,瓢儿井战斗,Event,,1927-08-01
IENT-dfe8d8c7431ca7d38302d934,魏谦,Person,participated_in,IENT-383c466dcfb7f0be752343e9,新民主主义青年团建立,Event,,
IENT-368f2c84542efe4d92cd3824,兰明忠,Person,active_at,IENTREPAIR-1ae23176d7a9f3e895ee620d,威远,AdministrativeRegion,,
IENT-36ab66f9813005d3e1cc420e,罗世文,Person,collaborated_with,IENT-34e9930b97f8107f753d57d9,王维舟,Person,,
IENT-0e254ecb61f5a2db012dbd93,刘南文,Person,active_at,IENTREPAIR-1f602449dd7540d41db28631,信丰,AdministrativeRegion,,
IENT-e1c92ef8e90b067e6ce3cd08,红二军团,Organization,traveled_to,IENT-59f49444535dd0d58c39b9fb,甘孜,Place,,
IENT-8327d3a1577b179696fe5125,毛泽东,Person,guided,IENT-4e03b0c5fae9f5094f1fc5fd,建立工农兵苏维埃政权,Event,,
IENT-27f4ac7e63daa36195530e3c,刘兆祥,Person,held_position_in,IENT-8956f5bda67f87469c8b400e,东溪区委,Organization,,
IENT-c2cd3b2492a2722363d42fb8,李克孝,Person,participated_in,IENT-7e38bf1fae27044b2c233d6e,湘潭县工委扩大会议,Event,湖南省,
IENT-e1398c730aa01a870ae157c9,何现龙,Person,collaborated_with,IENT-09fdb30fe665bb2a0479dda5,郭鸿业,Person,,
IENT-50135f1f03fddcacffc76e1d,赵利群,Person,held_position_in,IENT-d1728eca6f048636305ee138,彭仁华特支,Organization,,
IENT-dfbfdb0e90f276b84baba58a,黄明俊,Person,active_at,IENTREPAIR-326bb55a0bc4a353fded9b58,昆明,AdministrativeRegion,,
IENT-1336a8569bff58b2f8609d5d,八七会议,Event,influenced,IENT-bef4e11cd05f0d0c25512371,秋收起义,Event,,
IENT-ae20ddfcef9bef8745cfbd03,史沫特莱,Person,supported,IENT-8c13504e8d4496c3eae1d2c5,八路军新四军,Organization,,
IENT-c599681cbaf8a2115db7ad80,叙五,Person,influenced,IENT-608379f9c565c9dbe7a0c465,成都大学,Institution,,
ITOPIC-788786f7e20645d22cbd2b8a,上海工人阶级革命精神,Spirit,has_value_facet,ITOPIC-9609919460c719509a563ccb,牺牲,ValueFacet,,
IENT-26ad550099f292b7aafe1db1,周逸群,Person,organized,IENT-3f5d3e3e9f3246be890dd158,政治讲习所,Institution,,
IENT-50690f9968ba622fd0b464d7,陈佑魁,Person,organized,IENT-53d5cd6cc18f7d73817df31d,湘南苏维埃政府,Organization,湖南省,1927-08-01
IENT-c1e8c505b2dfc8f575326eea,柏文蔚,Person,supported,IENT-1f33a633fcf09751fd2690a2,学兵团,Event,,
IENT-5c900797469d2184af8acd49,川康特委,Organization,guided,IENT-94d759c2e582ff76f743b026,籍田地区党组织,Organization,,
IENT-c5055ab77a4b720f2781f7c3,叶剑英,Person,organized,IENT-e0da5df8e033f0ce27acbb5a,南岳佛道教救难协会,Organization,湖南省,
IENT-bdd96a4f7ba28b4381403070,陈绪宗,Person,active_at,IENT-36a371dc5731ddc134189cbc,嘉陵江上游小镇,Place,,
IENT-610fa236210932d54f412844,学生自治会,Organization,led,IENT-ad22ef872bc0bc6fad441e7e,反搬迁斗争,Event,,
IENT-e2ea0b797af2c71e54a5a049,土地改革试点,Event,occurred_at,IENT-5fc708934d07089fd1d4cc94,黄平县,Place,,
IENT-d88f47d01a3c3b25d2d08fa5,瓦厂岗战斗,Event,occurred_at,IENT-15aae9ec4ac1c23b7d9619f5,瓦厂岗,Place,,
IENT-a033bd74bd02743360c68fe2,省工委,Organization,dispatched,IENT-3c2d615e3b7962fa18776e18,许南波,Person,云南省,
IENT-68400d86c76a35dd8f6aa16b,刘峰,Person,organized,IENT-854c207ec254efbf83a0bdfc,南京铁路系统党的紧急会议,Event,,
IENT-f35a32bac83af494d2766af0,彭德怀,Person,commanded,IENT-5f8d1adf264260893b9d0561,红五军,Organization,,
IENT-7a1d966d47397f0e125429ec,赤卫队,Organization,participated_in,IENT-b5a1bb6072e162e3490592a4,土地革命,Event,,1927-08-01
IENT-98895aab1596aa4c089223bd,杨泓光,Person,led,IENT-3dfb1c3fea9ddca7c7e972ac,宣威县解放委员会,Organization,,1945-08-16
IENT-b946c1cf8c995fc662532e6d,欧阳笛渔,Person,organized,IENT-8cf0e9299f57c39de73e3a45,读书社,Organization,,
IENT-4582e227e9ea722e657816e2,刘隆华,Person,responsible_for,IENT-20bf5bb097d497d9b32560ad,合川县,Place,,
IENT-be2a7ba9c01eba9d05f0fade,赵吉良,Person,family_of,IENT-284565addaa55079ab2163cd,杨创,Person,,
IENT-3a55260326217091c4353bee,和中立,Person,participated_in,IENT-99fb26e318e3dcac70bd3110,广州起义,Event,,
IENT-9ec2832479eb7425b344be55,无产阶级,Person,participated_in,IENT-7a253173c32456833f63732b,五卅运动,Event,,
IENT-ca1817423575bf5438607b82,罗惠民,Person,led,IENT-2094f67e3bf6335aa68808f1,南昌高商学校小组,Institution,,
IENT-0b345294f6acfa640469a944,万宜上县委,Organization,active_at,IENT-775e7a867b7e97050d98ecd3,峰顶山根据地,Place,,
IENT-9ea59a759cb03e2e5f9f1153,严朴,Person,created,IENT-2b669ac6c0c593352bdc31f7,《孤星》旬刊,Artifact,,
IENT-e36890cd9e22ef16e239b4fc,朱瑞,Person,contacted,IENT-db399d2344f1aa7d75332df4,邓颖超,Person,,
IENT-8c99fa476c7a396b25616629,甘道生,Person,held_position_in,IENT-62963d91558103daf5f5d978,川东特委,Organization,四川省,
IENT-8bae1d256e580a2c0b5b8998,张从道,Person,worked_at,IENTREPAIR-0d7d531d5925d828e66a532f,徐州,AdministrativeRegion,,
IENT-0cbf128b22310c9db386e88a,陈毅乔,Person,member_of,IENT-48d5272bbd50ca9d5941da67,中共綦江县特支,Organization,,
IENT-de874e45f06467416a577aa2,王步文,Person,organized,IENT-63117511d6be489b850bc6a4,曹锟贿选,Event,,
IENT-25dd882b714b3873585d8d27,赵树华,Person,participated_in,IENT-c2c8612a8670ae357da7556c,农业合作化运动,Event,,
IENT-f23a4c71dfbf92de54d5a1cb,朱斌,Person,fought_at,IENT-ceeba43b3495c304f2f915af,本县新街,Place,,
IENT-aa5ee51ffb459a76d5373769,张维周,Person,active_at,IENT-520e745556fe32f211067d87,泸水县,Place,,
IENT-bc210f776d466c48ac60f832,张鹏飞,Person,active_at,IENT-963dd3aca00ef4f5121fd184,安乡,Place,,
IENT-56de7bc24debb8d8ab3f1407,桥街小学,Institution,located_in,IENTREPAIR-357499d1da51889705c97967,江川,AdministrativeRegion,,
IENT-78009d0bfdf698e44746689d,傅祖尧,Person,responsible_for,IENT-055608d7278fbe16ac359784,罗溪,Place,,
IENT-2c64c38ac66f68538b01eda6,杨闇公,Person,created,IENT-40278ea6b1cc17c5d58e28ce,中华大学,Institution,,
IENT-cc7ae37d613379a8b7568cf2,意志坚强,Spirit,embodied_by_person,IENT-32281a90ccb9d8fbdafa7498,段友苹,Person,,
IENT-5a666eca5ab7dd7699972b25,新四军江南工作委员会第三分会,Organization,appointed,IENT-3362a4b8fe48ae17c0e250ec,徐楚光,Person,,
IENT-26ad550099f292b7aafe1db1,周逸群,Person,created,IENT-bede174f160971686df1b28d,洞庭特区区委,Organization,,
IENT-db17d42c5d0a8ab2e0b810bf,陈度,Person,participated_in,IENT-faf7a74b26539bd21e5fd646,塾坊事件,Event,,
IENT-5f367ca744a93f29000806a6,红军,Organization,active_at,IENT-edb76b7952c925a63dd93fe5,洗马河,Place,,
IENT-b31ade2c9956993130de6e79,叶绍奎,Person,contacted,IENT-2dfbc9b0500bebb4fd1c1331,陇承尧,Person,,
IENT-39667ae763e850599290b81a,韦汉,Person,led,IENT-df222ae1ab2d7934521e98b2,中共江华支部,Organization,,1925-01-01
IENT-0cd460658d96d61c821bba49,丁志平,Person,active_at,IENT-66c4aea3b60224c1ce134bea,华坪,Place,,
IENT-dfd686832f4171ce626ff4a0,新四军,Organization,member_of,IENT-1e79a8a7b97ac5470b937bfd,繁昌大队,Organization,,
IENT-e1c92ef8e90b067e6ce3cd08,红二军团,Organization,active_at,IENT-29450c69ad6ad8ba1742231e,湘鄂川黔边,Place,,
IENT-bbc8e3519eabc1563db3d6bd,陈世昌,Person,active_at,IENT-4492748e631c713d35781e6b,广通,Place,,
IENT-bcff8d19f61bdbd37b0702b7,邹发铨,Person,participated_in,IENT-d621441b0cd404879cc384ec,合县后乡人民武装起义,Event,,
IENT-b1a7b31b3b7c803d4791721b,徐州特委,Organization,active_at,IENTREPAIR-0d7d531d5925d828e66a532f,徐州,AdministrativeRegion,,
IENT-273ff889605a96c62349f042,四川省委,Organization,organized,IENT-9efd9401f5421289393643c5,征收党员运动,Event,四川省,
ITOPIC-572b79da5a69239ca91586c2,万安游击队,Organization,mentioned_in,ITOPIC-45ea28fe5c0903c28f732e54,230.txt,Document,,
IENT-c68816356932f76bf7ca2efa,沙文汉,Person,held_position_in,IENT-ae61ef99865426e25bdb3fee,中共江苏省委,Organization,,
IENT-6af9604284d1c1aeaed24e7f,李治平,Person,contacted,IENT-f4f1eb41574c78aa00b7cbde,陶淑恒,Person,,
IENT-c1d4889e0e6077fcdc5f61ee,张庭奎,Person,held_position_in,IENT-25470ecf2a1d9cfca74a22b6,巴中县苏维埃政府,Organization,,
IENT-b86c131dbfd0b22a7f73a656,搭棚隐蔽,Event,occurred_at,IENT-11c763497f028239eab8b14c,浪石村,Place,,
IENT-264ec4979f60e50228d91347,午街铺战斗,Event,occurred_at,IENT-9c68616465dba1e21b865853,泸西午街铺,Place,,
IENT-160987d9cfceecee8c152f01,张国焘,Person,led,IENT-1b0b5dc934f325e50d05b633,红军四方面军,Organization,,
IENT-4372abbbf689a202a29a832b,二、六军团,Organization,traveled_to,IENT-50e3dce88b4f343aae3bb6af,金沙江,Place,,
IENT-5f367ca744a93f29000806a6,红军,Organization,killed,IENT-ab81b07d0b6cce511e9d6ece,刘兴禄,Person,,
IENT-98df8d9a4297c05315569bab,林育南,Person,held_position_in,IENT-b9ca61ed788d80443d79fde9,国民党汉口执行部青年部干事,Organization,,
IENT-a033bd74bd02743360c68fe2,省工委,Organization,led,IENT-9835f4fae2e4a748b0b9f8b7,宝山地区武装斗争,Event,,
IENT-317084e2ec9b64b2d23f7af1,杨昭植,Person,led,IENT-e2f19bf7531f5efa433a053e,反英经济绝交运动,Event,,
IENT-df45b784dcfef9c6e7df4f1b,刘达九,Person,influenced,IENT-343e711f6f1b71c2a414b409,宋少华,Person,,
IENT-fb237961a0e19ed2c1762469,彭雪枫,Person,led,IENT-d251dd4d58d9c85dce984a5a,新四军游击支队,Organization,安徽省,1937-07-07
IENT-1f3c14d87a71502f0603f0e6,邹韬奋,Person,imprisoned_at,IENT-2da2a56475c18f8acd2118d2,苏州监狱,Place,,
IENT-a5365cb2adaebdc1ec880149,贺龙,Person,captured,IENT-4a397f66e943634538ee4e41,黔东革命根据地,Place,,
IENT-fd4fd5339507a9d9301c131d,胡如瑛,Person,led,IENT-827fae1d1d82c0750d9625b5,云南人民讨蒋自救军嵩明游击队,Organization,,
IENT-f89911154c1cecc5f1c39dbb,县委,Organization,member_of,IENT-ee95a7cd5b75d725087c7709,芜湖中心县委,Organization,安徽省,
IENT-80983d466b13fadee0404889,四渡赤水,Event,occurred_at,IENT-b3ba110513f18c9ac66ce91e,大渡河,Place,,
IENT-36a2273d9d2c9262ab6be973,孙叔平,Person,collaborated_with,IENT-fb54fad09fff8488e7224882,彭笑千,Person,,
IENT-4162d38c1b9df37c3b904ddc,邹进贤,Person,organized,IENT-2e7f03c065b0ddad77222631,中共綦江县支部建立,Organization,,
IENT-86909023f16936b5b8af0af4,天京潜县委城工部,Organization,contacted,IENT-c289978f70647d6a845b561b,刘楚材,Person,,
IENT-c959abd47fa25a90dee090a5,甘雨苏,Person,led,IENT-5bdb2d20115db3698634e6d6,崇德农暴,Event,,
ITOPIC-712a1d5fdf01b6d228ec5d5a,劳模精神、劳动精神、工匠精神,Spirit,has_value_facet,ITOPIC-247ef6fe04f5f91c101ecba3,追求卓越,ValueFacet,,
IENT-a9603e45c8f3855a9273adb3,朱道煌,Person,participated_in,IENT-ae749be67c8c805b0b4a3bcf,省立二中驱左风潮,Event,安徽省,1932-01-01
IENT-6ec19d6c9ff85b99e06f09ef,闻一多,Person,participated_in,IENT-b6785521c05534e4221df78a,民主运动,Event,,
IENT-507149af5eaf69dae53a6a61,邵式平,Person,active_at,IENT-027f8b7a41f199bf6be00fe7,赣东北革命根据地,Place,,
IENT-049ff8e460eab2fa6c8363d2,猴场会议,Event,occurred_at,IENT-46754881ad38838172894855,川黔边,Place,,
IENT-67d80793e86a809882a80d2a,红六军团,Organization,carried_out,IENT-f907ddc25e6e5211ac662246,抢渡金沙江,Event,,
IENT-5fccaffc7242d3a9ebcc5dd1,王本鉴,Person,created,IENT-d4b57fd1822edc96b24227df,驳壳枪,Artifact,,
IENTREPAIR-3304097269a0d23325f97eba,青杠坡战斗,Event,occurred_at,IENT-95fef11402c28657add836aa,青杠坡,Place,,
IENT-c3c958a451672a2054b9d6b8,钱璧,Person,led,IENT-2a3f0e46d15546da34690804,霞坊农民起义,Event,,
IENT-def0a32514f575696ef0bc4c,李之龙,Person,born_at,IENT-b99522a2ab4811721ffa3921,湖北省沔阳县杜家窑乡李家垱,Place,,
IENT-62963d91558103daf5f5d978,川东特委,Organization,appointed,IENT-0f9a3b393d3a40281e910eb5,蒋可然,Person,,
IENT-c5055ab77a4b720f2781f7c3,叶剑英,Person,participated_in,IENT-e219e910524ba33415e14676,平江惨案,Event,湖南省,
IENT-bcd02b79450ba52a28c76f1e,肖次瞻,Person,active_at,IENT-cecb111a3b6b0b1ef5a0d6d5,乌江,Place,,
IENT-ebe25beeccb8b7424f7e8078,六军团,Organization,traveled_to,IENT-3293fdfe2290dc929486d10f,刘家坪,Place,,
IENT-55d4e6dd4832abadb1290419,丁瑜,Person,guided,IENT-a1eca0301ade2e84c1a5c885,新青团成立/秋征/反黑田/工人学校,Institution,,
IENT-c3d87433e345fbef9103d6b7,侯方岳,Person,member_of,IENT-be778e52bbb6638033710042,中共川康特委,Organization,四川省,
IENT-9e3e7165ac74ffdef767c3b2,津綦特支,Organization,active_at,IENT-a1632b17859a533a8053a945,合江,Place,,
IENT-8325837efef11a5cc169e3f5,红军二进青峰,Organization,organized,IENT-b269b7565abdf5a4aa674911,青峰苏维埃县政府,Organization,,
IENT-6ab3dc38da0f00f66ff985f3,朱百里,Person,dispatched,IENT-54a5031fd5b7e2647c72c00e,派遣内线工作,Event,,
IENT-4369935d0ee21fac5bc5cb1e,薛卓汉,Person,supported,IENT-75364da001c1d0f8c24fb257,芜湖黄包车工人罢工,Event,,
IENT-d297bee1c7bd1043f3a99a23,向天培,Person,active_at,IENT-f71e56ecb078f0c8f10a3b31,江南黔北古叙地区,Place,,
IENT-2ff71e100517a0ecd205e8e4,邓止戈,Person,introduced,IENT-86560aac05952a525ff0246f,邱在先,Person,,
IENT-e6b15be8450cd8c405aea576,陶勇,Person,led,IENT-f1e85f63f8a3fe727838edd7,皋南战斗,Event,江苏省,1937-07-07
IENT-5a372ff7f818a602a5dd6bba,西进部队,Organization,fought_at,IENT-73602dbf6ff59523c781efc8,滇东,Place,,
IENT-08e13f3c3bf97045faf38d52,唐祺尧,Person,led,IENT-c3f8ce26cadb9ccd1ada1a2c,昭通学生民主运动,Event,,
IENT-4eb71b6438f4646e1edac0c6,彭之玉,Person,member_of,IENT-54ae6ca6b68c76d7c3415f94,北伐军左翼宣传队,Organization,,
IENT-3b2cd4dcd676134ab47cab0f,工农革命军,Organization,captured,IENT-b04ffc43cb7195f6ae882a77,桑植县城,Place,,
IENT-bb5f7dbc43cc5d639a9f377f,苏中部队,Organization,carried_out,IENT-1e60ae6cd994082514021e27,苏中七战七捷,Event,,
IENT-75e9d5c43d5e68dbf8cbb109,谭余保,Person,collaborated_with,IENT-672902b5a9c853d89bb432cc,周金嫂,Person,,
IENT-cd60261d0a6d9b8c58dd6135,二渡赤水,Event,occurred_at,IENT-f6a8b0116474f2f084fb3530,赤水河,Place,,
IENT-25f2457e521fa8eda458d9c3,于毅夫,Person,worked_at,IENT-26a6c08f1a1448939dfe79fc,曾家岩五十号,Place,,
IENT-390f6185fdb1faebc65c5dec,李超然,Person,led,IENT-aa4a18b6646a19004877d5eb,鄂西革命委员会,Organization,,
IENT-98701ca44075d1d7de10077e,滇西北解放战争,Event,occurred_at,IENT-ec31f68864d5d8f08bf40bb2,怒江地区,Place,,
IENT-a14d2038586db1f205125ab8,刘伯承,Person,active_at,IENT-4bf278c40d1663c17bf390f8,奉节,Place,,
IENT-2dbd1c87837b2771f4d35e03,商造才,Person,supported,IENT-36ace22087da85dcc92768ea,红军长征,Event,,
IENT-2c3a888001670d5b5a76d73a,汪佑春,Person,organized,IENT-d8b083ae9d351b6558b81f3f,中共草畈小组,Organization,,
IENT-6dce14a61e028cc2eb322a4b,刘家瑞,Person,contacted,IENT-9be6ce5bfe418e73a22cf3fd,熊泾阳,Person,重庆市,1945-12-01
IENT-6e434d7d16e19bf8f360afc0,张自旗,Person,guided,IENT-67c72c3cd3bbc552c13a1d33,学生罢课,Event,,
IENT-813c222b92876c5974e23681,陈志秀,Person,guided,IENT-f7025501631b591504268cf4,陈光三,Person,,
IENT-4e8055dec9fa8c6b40e23409,党政军民协同,Spirit,embodied_in_event,IENT-505faa11be6c358fbca34ff1,黔东北第二期会剿,Event,,
IENT-f1483593b95741bf19c1b57a,政治罢工和武装起义,Event,occurred_at,IENT-cc1e38d6ea6b02cd545bf671,南京、上海、广州等中心城市,Place,,1930-06-01
IENT-969c6cd2b8f504492ad7d3b9,张经展,Person,led,IENT-59eaa39426f4e086f740400a,中共云南特别工作委员会,Organization,云南省,
IENT-a14d2038586db1f205125ab8,刘伯承,Person,participated_in,IENT-5f26bb6ae5736e1c8700a533,乌江战役,Event,,
IENT-aa5d1c0240ba1bbe67ec1fab,抗日救亡宣传活动,Event,occurred_at,IENT-eb3159e9f4e86320a4580796,江北县,Place,,
IENT-14a301590734acbf94730d6f,宁坚,Person,active_at,IENT-d111e4cd2060424282049f38,海防,Place,,
IENT-093fe722664574a45d7c578d,朱良才,Person,active_at,IENT-27f30d96145ca56d7a5dd462,资兴县,Place,,
IENT-865213f2f0c7e99300ba402f,十六军侦察营,Organization,captured,IENT-dddbf3e1860267c707f9e116,赫章,Place,贵州省,1945-08-16
IENT-7e08674ca7bca7098e38e465,欧君良,Person,participated_in,IENT-fbd2b36c1c092547a7048f86,苏家沟战斗,Event,四川省,1948-02-01
IENT-386cf1ccadd22dfa1a827a3c,王观澜,Person,guided,IENT-8327d3a1577b179696fe5125,毛泽东,Person,,
IENT-1a727bbd1549d4da5d35df5c,中共马龙县特支,Organization,organized,IENT-18d42e9e874db845bca37d13,马龙游击大队,Organization,云南省,
IENT-5651d7fa2ec14016908a1e9d,蒋介石,Person,commanded,IENT-c24b88827cb5c30e91dd1370,四川、贵州与湖南军阀部队及周浑元、吴奇伟等各路大军,Organization,,
ITOPIC-9ac2522a6e40f554ca146572,周恩来精神,Spirit,has_value_facet,ITOPIC-aa1265fc402c88ed0c597dff,谨慎,ValueFacet,,
